,src,tar,src_type,tar_type,is_net,arc_delay,src_id,tar_id,org_src_id,org_tar_id,src_pin_name,tar_pin_name,cell_name,libcell_name
61,_324_/A1,_324_/Y,pin,pin,0,2.9006068380521555e-11,88,92,88,92,A1,Y,_324_,OA211x2_ASAP7_75t_R
62,_324_/A2,_324_/Y,pin,pin,0,2.956505873452642e-11,89,92,89,92,A2,Y,_324_,OA211x2_ASAP7_75t_R
63,_324_/B,_324_/Y,pin,pin,0,3.140494461706389e-11,90,92,90,92,B,Y,_324_,OA211x2_ASAP7_75t_R
64,_324_/C,_324_/Y,pin,pin,0,4.4773958846056055e-11,91,92,91,92,C,Y,_324_,OA211x2_ASAP7_75t_R
65,_325_/A1,_325_/Y,pin,pin,0,3.464509581996289e-11,93,96,93,96,A1,Y,_325_,AO21x2_ASAP7_75t_R
66,_325_/A2,_325_/Y,pin,pin,0,3.634924305995213e-11,94,96,94,96,A2,Y,_325_,AO21x2_ASAP7_75t_R
67,_325_/B,_325_/Y,pin,pin,0,2.4718000216084057e-11,95,96,95,96,B,Y,_325_,AO21x2_ASAP7_75t_R
68,_326_/A1,_326_/Y,pin,pin,0,1.9409071572162876e-11,97,100,97,100,A1,Y,_326_,AO21x1_ASAP7_75t_R
69,_326_/A2,_326_/Y,pin,pin,0,1.9902539685756612e-11,98,100,98,100,A2,Y,_326_,AO21x1_ASAP7_75t_R
70,_326_/B,_326_/Y,pin,pin,0,2.0012505541622258e-11,99,100,99,100,B,Y,_326_,AO21x1_ASAP7_75t_R
71,_327_/A,_327_/Y,pin,pin,0,2.481589933545081e-11,101,103,101,103,A,Y,_327_,AND2x6_ASAP7_75t_R
72,_327_/B,_327_/Y,pin,pin,0,2.503595594727237e-11,102,103,102,103,B,Y,_327_,AND2x6_ASAP7_75t_R
73,_328_/A1,_328_/Y,pin,pin,0,2.0553319463045838e-11,104,107,104,107,A1,Y,_328_,AO21x1_ASAP7_75t_R
74,_328_/A2,_328_/Y,pin,pin,0,2.121312500658057e-11,105,107,105,107,A2,Y,_328_,AO21x1_ASAP7_75t_R
75,_328_/B,_328_/Y,pin,pin,0,2.13445962293779e-11,106,107,106,107,B,Y,_328_,AO21x1_ASAP7_75t_R
76,_329_/A,_329_/Y,pin,pin,0,2.8017928255241745e-11,108,112,108,112,A,Y,_329_,AND4x1_ASAP7_75t_R
77,_329_/B,_329_/Y,pin,pin,0,2.8736655416361497e-11,109,112,109,112,B,Y,_329_,AND4x1_ASAP7_75t_R
