src,tar,src_type,tar_type
_362_/A,_362_,pin,cell
_362_/B,_362_,pin,cell
_362_,_362_/Y,cell,pin
_363_/A,_363_,pin,cell
_363_,_363_/Y,cell,pin
_364_/A,_364_,pin,cell
_364_/B,_364_,pin,cell
_364_/C,_364_,pin,cell
_364_,_364_/Y,cell,pin
_365_/A,_365_,pin,cell
_365_,_365_/X,cell,pin
_366_/A,_366_,pin,cell
_366_,_366_/Y,cell,pin
_367_/A1,_367_,pin,cell
_367_/A2,_367_,pin,cell
_367_/B1,_367_,pin,cell
_367_/B2,_367_,pin,cell
_367_/C1,_367_,pin,cell
_367_,_367_/X,cell,pin
_368_/A,_368_,pin,cell
_368_,_368_/Y,cell,pin
_369_/A1,_369_,pin,cell
_369_/A2,_369_,pin,cell
_369_/B1,_369_,pin,cell
_369_,_369_/Y,cell,pin
_370_/A,_370_,pin,cell
_370_,_370_/Y,cell,pin
_371_/A,_371_,pin,cell
_371_,_371_/X,cell,pin
_372_/A1,_372_,pin,cell
_372_/A2,_372_,pin,cell
_372_/B1,_372_,pin,cell
_372_,_372_/X,cell,pin
_373_/A1,_373_,pin,cell
_373_/A2,_373_,pin,cell
_373_/B1,_373_,pin,cell
_373_,_373_/Y,cell,pin
_374_/A,_374_,pin,cell
_374_,_374_/X,cell,pin
_375_/A,_375_,pin,cell
_375_/B,_375_,pin,cell
_375_,_375_/Y,cell,pin
_376_/A,_376_,pin,cell
_376_/B_N,_376_,pin,cell
_376_,_376_/Y,cell,pin
_377_/A,_377_,pin,cell
_377_,_377_/Y,cell,pin
_378_/A,_378_,pin,cell
_378_/B,_378_,pin,cell
_378_,_378_/Y,cell,pin
_379_/A,_379_,pin,cell
_379_,_379_/X,cell,pin
_380_/A,_380_,pin,cell
_380_/B,_380_,pin,cell
_380_,_380_/Y,cell,pin
_381_/A,_381_,pin,cell
_381_/B,_381_,pin,cell
_381_,_381_/Y,cell,pin
_382_/A,_382_,pin,cell
_382_/B,_382_,pin,cell
_382_/C,_382_,pin,cell
_382_,_382_/Y,cell,pin
_383_/A,_383_,pin,cell
_383_,_383_/Y,cell,pin
_384_/A_N,_384_,pin,cell
_384_/B,_384_,pin,cell
_384_,_384_/Y,cell,pin
_385_/A,_385_,pin,cell
_385_,_385_/Y,cell,pin
_386_/A_N,_386_,pin,cell
_386_/B,_386_,pin,cell
_386_,_386_/Y,cell,pin
_387_/A1,_387_,pin,cell
_387_/A2,_387_,pin,cell
_387_/B1,_387_,pin,cell
_387_,_387_/Y,cell,pin
_388_/A,_388_,pin,cell
_388_/B,_388_,pin,cell
_388_,_388_/Y,cell,pin
_389_/A,_389_,pin,cell
_389_/B_N,_389_,pin,cell
_389_,_389_/Y,cell,pin
_390_/A1,_390_,pin,cell
_390_/A2,_390_,pin,cell
_390_/A3,_390_,pin,cell
_390_/B1,_390_,pin,cell
_390_,_390_/Y,cell,pin
_391_/A,_391_,pin,cell
_391_/B,_391_,pin,cell
_391_/C,_391_,pin,cell
_391_,_391_/X,cell,pin
_392_/A,_392_,pin,cell
_392_,_392_/Y,cell,pin
_393_/A,_393_,pin,cell
_393_,_393_/Y,cell,pin
_394_/A_N,_394_,pin,cell
_394_/B,_394_,pin,cell
_394_,_394_/Y,cell,pin
_395_/A,_395_,pin,cell
_395_/B_N,_395_,pin,cell
_395_,_395_/Y,cell,pin
_396_/A1,_396_,pin,cell
_396_/A2,_396_,pin,cell
_396_/A3,_396_,pin,cell
_396_/B1,_396_,pin,cell
_396_,_396_/Y,cell,pin
_397_/A,_397_,pin,cell
_397_/B,_397_,pin,cell
_397_/C,_397_,pin,cell
_397_,_397_/X,cell,pin
_398_/A1,_398_,pin,cell
_398_/A2,_398_,pin,cell
_398_/B1,_398_,pin,cell
_398_/B2,_398_,pin,cell
_398_/C1,_398_,pin,cell
_398_,_398_/X,cell,pin
_399_/A,_399_,pin,cell
_399_/B,_399_,pin,cell
_399_,_399_/Y,cell,pin
_400_/A,_400_,pin,cell
_400_/B,_400_,pin,cell
_400_,_400_/Y,cell,pin
_401_/A,_401_,pin,cell
_401_/B,_401_,pin,cell
_401_,_401_/Y,cell,pin
_402_/A,_402_,pin,cell
_402_,_402_/X,cell,pin
_403_/A,_403_,pin,cell
_403_/B,_403_,pin,cell
_403_,_403_/X,cell,pin
_404_/A,_404_,pin,cell
_404_,_404_/X,cell,pin
_405_/A_N,_405_,pin,cell
_405_/B,_405_,pin,cell
_405_,_405_/Y,cell,pin
_406_/A_N,_406_,pin,cell
_406_/B,_406_,pin,cell
_406_,_406_/Y,cell,pin
_407_/A,_407_,pin,cell
_407_/B,_407_,pin,cell
_407_,_407_/Y,cell,pin
_408_/A_N,_408_,pin,cell
_408_/B,_408_,pin,cell
_408_,_408_/Y,cell,pin
_409_/A_N,_409_,pin,cell
_409_/B,_409_,pin,cell
_409_,_409_/Y,cell,pin
_410_/A_N,_410_,pin,cell
_410_/B,_410_,pin,cell
_410_,_410_/Y,cell,pin
_411_/A_N,_411_,pin,cell
_411_/B,_411_,pin,cell
_411_,_411_/Y,cell,pin
_412_/A,_412_,pin,cell
_412_/B,_412_,pin,cell
_412_/C,_412_,pin,cell
