src,tar,is_net
_16681_/B1,_16681_/ZN,0
_16681_/B2,_16681_/ZN,0
_16682_/A1,_16682_/ZN,0
_16682_/A2,_16682_/ZN,0
_16682_/A3,_16682_/ZN,0
_16684_/A1,_16684_/ZN,0
_16684_/A2,_16684_/ZN,0
_16686_/A1,_16686_/ZN,0
_16686_/A2,_16686_/ZN,0
_16686_/A3,_16686_/ZN,0
_16687_/A1,_16687_/ZN,0
_16687_/A2,_16687_/ZN,0
_16688_/A1,_16688_/ZN,0
_16688_/A2,_16688_/ZN,0
_16689_/A,_16689_/ZN,0
_16689_/B1,_16689_/ZN,0
_16689_/B2,_16689_/ZN,0
_16690_/A,_16690_/ZN,0
_16690_/B1,_16690_/ZN,0
_16690_/B2,_16690_/ZN,0
_16690_/C1,_16690_/ZN,0
_16690_/C2,_16690_/ZN,0
_16691_/A1,_16691_/ZN,0
_16691_/A2,_16691_/ZN,0
_16691_/A3,_16691_/ZN,0
_16693_/A1,_16693_/ZN,0
_16693_/A2,_16693_/ZN,0
_16693_/A3,_16693_/ZN,0
_16695_/A1,_16695_/ZN,0
_16695_/A2,_16695_/ZN,0
_16695_/A3,_16695_/ZN,0
_16695_/B1,_16695_/ZN,0
_16695_/B2,_16695_/ZN,0
_16695_/B3,_16695_/ZN,0
_16696_/A1,_16696_/ZN,0
_16696_/A2,_16696_/ZN,0
_16697_/A1,_16697_/ZN,0
_16697_/A2,_16697_/ZN,0
_16698_/A1,_16698_/ZN,0
_16698_/A2,_16698_/ZN,0
_16699_/A1,_16699_/ZN,0
_16699_/A2,_16699_/ZN,0
_16700_/A,_16700_/ZN,0
_16700_/B1,_16700_/ZN,0
_16700_/B2,_16700_/ZN,0
_16701_/A1,_16701_/ZN,0
_16701_/A2,_16701_/ZN,0
_16702_/A1,_16702_/ZN,0
_16702_/A2,_16702_/ZN,0
_16703_/A1,_16703_/ZN,0
_16703_/A2,_16703_/ZN,0
_16703_/A3,_16703_/ZN,0
_16705_/A1,_16705_/ZN,0
_16705_/A2,_16705_/ZN,0
_16705_/A3,_16705_/ZN,0
_16706_/A1,_16706_/ZN,0
_16706_/A2,_16706_/ZN,0
_16706_/A3,_16706_/ZN,0
_16706_/A4,_16706_/ZN,0
_16708_/A1,_16708_/ZN,0
_16708_/A2,_16708_/ZN,0
_16709_/A1,_16709_/ZN,0
_16709_/A2,_16709_/ZN,0
_16709_/A3,_16709_/ZN,0
_16710_/A,_16710_/ZN,0
_16710_/B1,_16710_/ZN,0
_16710_/B2,_16710_/ZN,0
_16711_/A1,_16711_/ZN,0
_16711_/A2,_16711_/ZN,0
_16711_/A3,_16711_/ZN,0
_16711_/B1,_16711_/ZN,0
_16711_/B2,_16711_/ZN,0
_16711_/B3,_16711_/ZN,0
_16712_/A1,_16712_/ZN,0
_16712_/A2,_16712_/ZN,0
_16712_/A3,_16712_/ZN,0
_16713_/A1,_16713_/ZN,0
_16713_/A2,_16713_/ZN,0
_16714_/A1,_16714_/ZN,0
_16714_/A2,_16714_/ZN,0
_16714_/A3,_16714_/ZN,0
_16715_/A1,_16715_/ZN,0
_16715_/A2,_16715_/ZN,0
_16716_/A1,_16716_/ZN,0
_16716_/A2,_16716_/ZN,0
_16717_/A1,_16717_/ZN,0
_16717_/A2,_16717_/ZN,0
_16717_/B1,_16717_/ZN,0
_16717_/B2,_16717_/ZN,0
_16718_/A1,_16718_/ZN,0
_16718_/A2,_16718_/ZN,0
_16718_/A3,_16718_/ZN,0
_16718_/B1,_16718_/ZN,0
_16718_/B2,_16718_/ZN,0
_16718_/B3,_16718_/ZN,0
_16719_/A1,_16719_/ZN,0
_16719_/A2,_16719_/ZN,0
_16719_/B1,_16719_/ZN,0
_16719_/B2,_16719_/ZN,0
_16720_/A1,_16720_/ZN,0
_16720_/A2,_16720_/ZN,0
_16720_/A3,_16720_/ZN,0
_16721_/A1,_16721_/ZN,0
_16721_/A2,_16721_/ZN,0
_16722_/A1,_16722_/ZN,0
_16722_/A2,_16722_/ZN,0
_16723_/A1,_16723_/ZN,0
_16723_/A2,_16723_/ZN,0
_16724_/A,_16724_/Z,0
_16724_/B,_16724_/Z,0
_16724_/S,_16724_/Z,0
_16725_/A1,_16725_/ZN,0
_16725_/A2,_16725_/ZN,0
_16726_/A,_16726_/ZN,0
_16726_/B,_16726_/ZN,0
_16727_/A1,_16727_/ZN,0
