cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_filler,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
dpath.a_reg.out\[5\]$_DFFE_PP_,1,0,1,5616,12960,6804,13230,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914245e-10,5.779707407782553e-06
dpath.a_reg.out\[6\]$_DFFE_PP_,1,0,1,8586,13230,9774,13500,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1946906791914245e-10,5.790276645711856e-06
dpath.a_reg.out\[7\]$_DFFE_PP_,1,0,1,10800,9450,11988,9720,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1992531407111215e-10,5.847708962392062e-06
dpath.a_reg.out\[8\]$_DFFE_PP_,1,0,1,8370,11880,9558,12150,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1945588402072502e-10,5.7789752645476256e-06
dpath.a_reg.out\[9\]$_DFFE_PP_,1,0,1,11718,7290,12906,7560,0,0,0,DFFHQNx3_ASAP7_75t_R,2.1992532794889996e-10,5.8243199418939184e-06
dpath.b_reg.out\[0\]$_DFFE_PP_,1,0,1,3996,4860,5130,5130,0,0,0,DFFHQNx2_ASAP7_75t_R,1.791417708618681e-10,5.402104761742521e-06
dpath.b_reg.out\[10\]$_DFFE_PP_,1,0,1,6426,7020,7560,7290,0,0,0,DFFHQNx2_ASAP7_75t_R,1.791419512731096e-10,5.612118457065662e-06
dpath.b_reg.out\[11\]$_DFFE_PP_,1,0,1,7398,2700,8532,2970,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7916185202082602e-10,5.6156668506446294e-06
dpath.b_reg.out\[12\]$_DFFE_PP_,1,0,1,6264,2700,7398,2970,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7912414607135219e-10,5.611746018985286e-06
dpath.b_reg.out\[13\]$_DFFE_PP_,1,0,1,11178,4860,12312,5130,0,0,0,DFFHQNx2_ASAP7_75t_R,1.7915938177459623e-10,5.625230642181123e-06
dpath.b_reg.out\[14\]$_DFFE_PP_,1,0,1,10638,3240,11772,3510,0,0,0,DFFHQNx2_ASAP7_75t_R,1.791593540190206e-10,5.637300546368351e-06
