src,tar,src_type,tar_type,is_net,arc_delay
_356_/A,_356_/Y,pin,pin,0,1.3769155086940099e-11
_357_/A,_357_/Y,pin,pin,0,1.3776648224994581e-11
_358_/A,_358_/Y,pin,pin,0,1.4186553841388783e-11
_359_/A,_359_/Y,pin,pin,0,1.4259346307887721e-11
_360_/A,_360_/Y,pin,pin,0,1.4201655476608899e-11
_361_/A,_361_/Y,pin,pin,0,1.384152861771959e-11
_362_/A,_362_/Y,pin,pin,0,1.0266024141891705e-11
_363_/A,_363_/Y,pin,pin,0,2.5626667454758945e-11
_364_/A1,_364_/Y,pin,pin,0,1.8857033989849725e-11
_364_/A2,_364_/Y,pin,pin,0,1.938982481519691e-11
_364_/B,_364_/Y,pin,pin,0,2.1886480475186154e-11
_365_/A,_365_/Y,pin,pin,0,1.8214752622869312e-11
_366_/A,_366_/Y,pin,pin,0,1.9679426491170382e-11
_366_/B,_366_/Y,pin,pin,0,2.0325045466118574e-11
_367_/A,_367_/Y,pin,pin,0,2.1193300586697106e-11
_367_/B,_367_/Y,pin,pin,0,2.2816235012435016e-11
_367_/C,_367_/Y,pin,pin,0,2.2019391518468545e-11
_368_/A,_368_/Y,pin,pin,0,1.9235510753667917e-11
_369_/A,_369_/Y,pin,pin,0,2.2707249275333297e-11
_369_/B,_369_/Y,pin,pin,0,2.190153093606373e-11
_369_/C,_369_/Y,pin,pin,0,2.149660831285427e-11
_370_/A,_370_/Y,pin,pin,0,2.7259668480827948e-11
_370_/B,_370_/Y,pin,pin,0,2.9542920193526e-11
_370_/C,_370_/Y,pin,pin,0,2.789703884564787e-11
_371_/A1,_371_/Y,pin,pin,0,2.364707908653063e-11
_371_/A2,_371_/Y,pin,pin,0,2.5553477736584007e-11
_371_/B,_371_/Y,pin,pin,0,2.4996036490643192e-11
_372_/A,_372_/Y,pin,pin,0,2.555202403831114e-11
_373_/A1,_373_/Y,pin,pin,0,1.873603355795339e-11
_373_/A2,_373_/Y,pin,pin,0,1.6618196402307106e-11
_373_/B,_373_/Y,pin,pin,0,1.8232342718915717e-11
_374_/A,_374_/Y,pin,pin,0,2.072121640939173e-11
_375_/A,_375_/Y,pin,pin,0,2.031624694864842e-11
_376_/A,_376_/Y,pin,pin,0,1.879222992495766e-11
_376_/B,_376_/Y,pin,pin,0,1.492718101903101e-11
_377_/A1,_377_/Y,pin,pin,0,2.6147002965548616e-11
_377_/A2,_377_/Y,pin,pin,0,2.3074845853510162e-11
_377_/B1,_377_/Y,pin,pin,0,1.937164664789215e-11
_377_/B2,_377_/Y,pin,pin,0,2.248117143832662e-11
_377_/C,_377_/Y,pin,pin,0,2.092094379679832e-11
_378_/A1,_378_/Y,pin,pin,0,1.7624426223994405e-11
_378_/A2,_378_/Y,pin,pin,0,2.035698519475826e-11
_378_/B1,_378_/Y,pin,pin,0,1.7999062310036784e-11
_378_/B2,_378_/Y,pin,pin,0,1.857579888520089e-11
_379_/A,_379_/Y,pin,pin,0,1.3511310126279596e-11
_380_/A,_380_/Y,pin,pin,0,2.1382730655550297e-11
_380_/B,_380_/Y,pin,pin,0,2.188458442242691e-11
_380_/C,_380_/Y,pin,pin,0,2.148312604199898e-11
_381_/A1,_381_/Y,pin,pin,0,1.7181563463641858e-11
_381_/A2,_381_/Y,pin,pin,0,1.790100880028067e-11
_381_/B,_381_/Y,pin,pin,0,1.4031198945774204e-11
_382_/A,_382_/Y,pin,pin,0,1.9386834151924326e-11
_382_/B,_382_/Y,pin,pin,0,2.1793501031597273e-11
_383_/A,_383_/Y,pin,pin,0,1.0342663357698623e-11
_384_/A1,_384_/Y,pin,pin,0,1.454574134751585e-11
_384_/A2,_384_/Y,pin,pin,0,1.4043692424248189e-11
_384_/B,_384_/Y,pin,pin,0,1.2148092427832768e-11
_385_/A1,_385_/Y,pin,pin,0,2.1804861735641445e-11
_385_/A2,_385_/Y,pin,pin,0,1.869292047540494e-11
_385_/B,_385_/Y,pin,pin,0,2.0372531786549963e-11
_386_/B,_386_/Y,pin,pin,0,2.0906981007540182e-11
_386_/A,_386_/Y,pin,pin,0,2.193608489298171e-11
_387_/A1,_387_/Y,pin,pin,0,1.6912004782709822e-11
_387_/A2,_387_/Y,pin,pin,0,1.598685073211925e-11
_387_/B,_387_/Y,pin,pin,0,1.7626436768503062e-11
_388_/A,_388_/Y,pin,pin,0,2.0143527471039313e-11
_388_/B,_388_/Y,pin,pin,0,1.618844121253904e-11
_389_/A1,_389_/Y,pin,pin,0,2.4138933907291715e-11
_389_/A2,_389_/Y,pin,pin,0,2.339233320935996e-11
_389_/B1,_389_/Y,pin,pin,0,1.962807347211104e-11
_389_/B2,_389_/Y,pin,pin,0,2.3004395263703792e-11
_389_/C,_389_/Y,pin,pin,0,2.1852460813098773e-11
_390_/A1,_390_/Y,pin,pin,0,1.950930909877524e-11
_390_/A2,_390_/Y,pin,pin,0,2.023521107619164e-11
_390_/B1,_390_/Y,pin,pin,0,1.7856591205678285e-11
_390_/B2,_390_/Y,pin,pin,0,1.8606069809856685e-11
_391_/A,_391_/Y,pin,pin,0,1.0679267366253686e-11
_392_/A,_392_/Y,pin,pin,0,2.652277529546776e-11
_392_/B,_392_/Y,pin,pin,0,2.672869044151316e-11
_392_/C,_392_/Y,pin,pin,0,2.575739968535551e-11
_393_/A1,_393_/Y,pin,pin,0,2.845440896792617e-11
_393_/A2,_393_/Y,pin,pin,0,2.7483902306779662e-11
_393_/B,_393_/Y,pin,pin,0,2.795301490277069e-11
_394_/A1,_394_/Y,pin,pin,0,2.131984172537571e-11
_394_/A2,_394_/Y,pin,pin,0,1.4764571509839897e-11
_394_/B,_394_/Y,pin,pin,0,1.5521497281900665e-11
_395_/A,_395_/Y,pin,pin,0,1.985271495807961e-11
_395_/B,_395_/Y,pin,pin,0,1.9788637742323978e-11
_396_/A,_396_/Y,pin,pin,0,2.3432927473421294e-11
_396_/B,_396_/Y,pin,pin,0,2.388117134599632e-11
_396_/C,_396_/Y,pin,pin,0,2.3974391916148363e-11
