src,tar,src_type,tar_type
_371_/A1,_371_,pin,cell
_371_/A2,_371_,pin,cell
_371_/B,_371_,pin,cell
_371_,_371_/Y,cell,pin
_372_/A,_372_,pin,cell
_372_,_372_/Y,cell,pin
_373_/A1,_373_,pin,cell
_373_/A2,_373_,pin,cell
_373_/B,_373_,pin,cell
_373_,_373_/Y,cell,pin
_374_/A,_374_,pin,cell
_374_,_374_/Y,cell,pin
_375_/A,_375_,pin,cell
_375_,_375_/Y,cell,pin
_376_/A,_376_,pin,cell
_376_/B,_376_,pin,cell
_376_,_376_/Y,cell,pin
_377_/A1,_377_,pin,cell
_377_/A2,_377_,pin,cell
_377_/B1,_377_,pin,cell
_377_/B2,_377_,pin,cell
_377_/C,_377_,pin,cell
_377_,_377_/Y,cell,pin
_378_/A1,_378_,pin,cell
_378_/A2,_378_,pin,cell
_378_/B1,_378_,pin,cell
_378_/B2,_378_,pin,cell
_378_,_378_/Y,cell,pin
_379_/A,_379_,pin,cell
_379_,_379_/Y,cell,pin
_380_/A,_380_,pin,cell
_380_/B,_380_,pin,cell
_380_/C,_380_,pin,cell
_380_,_380_/Y,cell,pin
_381_/A1,_381_,pin,cell
_381_/A2,_381_,pin,cell
_381_/B,_381_,pin,cell
_381_,_381_/Y,cell,pin
_382_/A,_382_,pin,cell
_382_/B,_382_,pin,cell
_382_,_382_/Y,cell,pin
_383_/A,_383_,pin,cell
_383_,_383_/Y,cell,pin
_384_/A1,_384_,pin,cell
_384_/A2,_384_,pin,cell
_384_/B,_384_,pin,cell
_384_,_384_/Y,cell,pin
_385_/A1,_385_,pin,cell
_385_/A2,_385_,pin,cell
_385_/B,_385_,pin,cell
_385_,_385_/Y,cell,pin
_386_/B,_386_,pin,cell
_386_,_386_/Y,cell,pin
_386_/A,_386_,pin,cell
_387_/A1,_387_,pin,cell
_387_/A2,_387_,pin,cell
_387_/B,_387_,pin,cell
_387_,_387_/Y,cell,pin
_388_/A,_388_,pin,cell
_388_/B,_388_,pin,cell
_388_,_388_/Y,cell,pin
_389_/A1,_389_,pin,cell
_389_/A2,_389_,pin,cell
_389_/B1,_389_,pin,cell
_389_/B2,_389_,pin,cell
_389_/C,_389_,pin,cell
_389_,_389_/Y,cell,pin
_390_/A1,_390_,pin,cell
_390_/A2,_390_,pin,cell
_390_/B1,_390_,pin,cell
_390_/B2,_390_,pin,cell
_390_,_390_/Y,cell,pin
_391_/A,_391_,pin,cell
_391_,_391_/Y,cell,pin
_392_/A,_392_,pin,cell
_392_/B,_392_,pin,cell
_392_/C,_392_,pin,cell
_392_,_392_/Y,cell,pin
_393_/A1,_393_,pin,cell
_393_/A2,_393_,pin,cell
_393_/B,_393_,pin,cell
_393_,_393_/Y,cell,pin
_394_/A1,_394_,pin,cell
_394_/A2,_394_,pin,cell
_394_/B,_394_,pin,cell
_394_,_394_/Y,cell,pin
_395_/A,_395_,pin,cell
_395_/B,_395_,pin,cell
_395_,_395_/Y,cell,pin
_396_/A,_396_,pin,cell
_396_/B,_396_,pin,cell
_396_/C,_396_,pin,cell
_396_,_396_/Y,cell,pin
_397_/A1,_397_,pin,cell
_397_/A2,_397_,pin,cell
_397_/B,_397_,pin,cell
_397_,_397_/Y,cell,pin
_398_/A,_398_,pin,cell
_398_/B,_398_,pin,cell
_398_,_398_/Y,cell,pin
_399_/A1,_399_,pin,cell
_399_/A2,_399_,pin,cell
_399_/B,_399_,pin,cell
_399_,_399_/Y,cell,pin
_400_/A,_400_,pin,cell
_400_,_400_/Y,cell,pin
_401_/A1,_401_,pin,cell
_401_/A2,_401_,pin,cell
_401_/B,_401_,pin,cell
_401_/C,_401_,pin,cell
_401_,_401_/Y,cell,pin
_402_/A1,_402_,pin,cell
_402_/A2,_402_,pin,cell
_402_/B,_402_,pin,cell
_402_,_402_/Y,cell,pin
_403_/A1,_403_,pin,cell
_403_/A2,_403_,pin,cell
_403_/B,_403_,pin,cell
_403_/C,_403_,pin,cell
_403_,_403_/Y,cell,pin
_404_/A1,_404_,pin,cell
_404_/A2,_404_,pin,cell
_404_/B,_404_,pin,cell
_404_,_404_/Y,cell,pin
_405_/A1,_405_,pin,cell
_405_/A2,_405_,pin,cell
_405_/B,_405_,pin,cell
_405_,_405_/Y,cell,pin
_406_/A,_406_,pin,cell
_406_/B,_406_,pin,cell
_406_/C,_406_,pin,cell
_406_,_406_/Y,cell,pin
_407_/A1,_407_,pin,cell
_407_/A2,_407_,pin,cell
_407_/B,_407_,pin,cell
_407_/C,_407_,pin,cell
_407_,_407_/Y,cell,pin
_408_/A,_408_,pin,cell
_408_,_408_/Y,cell,pin
_408_/B,_408_,pin,cell
_409_/A1,_409_,pin,cell
_409_/A2,_409_,pin,cell
_409_/B,_409_,pin,cell
_409_,_409_/Y,cell,pin
_410_/A1,_410_,pin,cell
_410_/A2,_410_,pin,cell
_410_/B1,_410_,pin,cell
_410_/B2,_410_,pin,cell
_410_/C,_410_,pin,cell
_410_,_410_/Y,cell,pin
_411_/A1,_411_,pin,cell
_411_/A2,_411_,pin,cell
_411_/B,_411_,pin,cell
_411_,_411_/Y,cell,pin
_412_/A,_412_,pin,cell
_412_,_412_/Y,cell,pin
_413_/A,_413_,pin,cell
_413_,_413_/Y,cell,pin
_413_/B,_413_,pin,cell
_414_/A1,_414_,pin,cell
_414_/A2,_414_,pin,cell
_414_/B,_414_,pin,cell
_414_,_414_/Y,cell,pin
_415_/A1,_415_,pin,cell
_415_/A2,_415_,pin,cell
_415_/B,_415_,pin,cell
_415_,_415_/Y,cell,pin
_416_/A1,_416_,pin,cell
_416_/A2,_416_,pin,cell
_416_/B1,_416_,pin,cell
_416_/B2,_416_,pin,cell
_416_/C,_416_,pin,cell
_416_,_416_/Y,cell,pin
_417_/A,_417_,pin,cell
_417_,_417_/Y,cell,pin
_418_/A1,_418_,pin,cell
_418_/A2,_418_,pin,cell
_418_/B,_418_,pin,cell
_418_,_418_/Y,cell,pin
_419_/A,_419_,pin,cell
_419_/B,_419_,pin,cell
_419_,_419_/Y,cell,pin
_420_/A1,_420_,pin,cell
_420_/A2,_420_,pin,cell
_420_/B,_420_,pin,cell
_420_,_420_/Y,cell,pin
_421_/A1,_421_,pin,cell
_421_/A2,_421_,pin,cell
_421_/B,_421_,pin,cell
_421_,_421_/Y,cell,pin
_422_/A,_422_,pin,cell
_422_/B,_422_,pin,cell
_422_,_422_/Y,cell,pin
_423_/A,_423_,pin,cell
_423_/B,_423_,pin,cell
_423_,_423_/Y,cell,pin
_424_/A1,_424_,pin,cell
_424_/A2,_424_,pin,cell
_424_/B,_424_,pin,cell
_424_/C,_424_,pin,cell
_424_,_424_/Y,cell,pin
_425_/A1,_425_,pin,cell
_425_/A2,_425_,pin,cell
_425_/B,_425_,pin,cell
_425_,_425_/Y,cell,pin
_426_/A,_426_,pin,cell
_426_/B,_426_,pin,cell
_426_,_426_/Y,cell,pin
_427_/A,_427_,pin,cell
_427_,_427_/Y,cell,pin
_428_/A,_428_,pin,cell
_428_/B,_428_,pin,cell
_428_,_428_/Y,cell,pin
_429_/A,_429_,pin,cell
_429_/B,_429_,pin,cell
_429_/C,_429_,pin,cell
_429_,_429_/Y,cell,pin
_430_/A1,_430_,pin,cell
_430_/A2,_430_,pin,cell
_430_/A3,_430_,pin,cell
_430_/B1,_430_,pin,cell
_430_/B2,_430_,pin,cell
_430_,_430_/Y,cell,pin
_431_/A1,_431_,pin,cell
_431_/A2,_431_,pin,cell
_431_/B,_431_,pin,cell
_431_,_431_/Y,cell,pin
_432_/A,_432_,pin,cell
_432_,_432_/Y,cell,pin
_433_/A,_433_,pin,cell
_433_/B,_433_,pin,cell
_433_/C,_433_,pin,cell
_433_,_433_/Y,cell,pin
_434_/A,_434_,pin,cell
_434_/B,_434_,pin,cell
_434_,_434_/Y,cell,pin
_435_/A1,_435_,pin,cell
_435_/A2,_435_,pin,cell
_435_/B1,_435_,pin,cell
_435_/B2,_435_,pin,cell
_435_,_435_/Y,cell,pin
_436_/A,_436_,pin,cell
_436_/B,_436_,pin,cell
_436_/C,_436_,pin,cell
_436_/D,_436_,pin,cell
_436_,_436_/Y,cell,pin
_437_/A1,_437_,pin,cell
_437_/A2,_437_,pin,cell
_437_/B,_437_,pin,cell
_437_,_437_/Y,cell,pin
_438_/A1,_438_,pin,cell
_438_/A2,_438_,pin,cell
_438_/B1,_438_,pin,cell
_438_/B2,_438_,pin,cell
_438_/C,_438_,pin,cell
_438_,_438_/Y,cell,pin
_439_/A1,_439_,pin,cell
_439_/A2,_439_,pin,cell
_439_/B,_439_,pin,cell
_439_,_439_/Y,cell,pin
_440_/A,_440_,pin,cell
_440_,_440_/Y,cell,pin
_441_/A,_441_,pin,cell
_441_,_441_/Y,cell,pin
_442_/A1,_442_,pin,cell
_442_/A2,_442_,pin,cell
_442_/B,_442_,pin,cell
_442_/C,_442_,pin,cell
_442_,_442_/Y,cell,pin
_443_/A,_443_,pin,cell
_443_/B,_443_,pin,cell
_443_,_443_/Y,cell,pin
_444_/A1,_444_,pin,cell
_444_/A2,_444_,pin,cell
_444_/B,_444_,pin,cell
_444_/C,_444_,pin,cell
_444_,_444_/Y,cell,pin
_445_/A,_445_,pin,cell
_445_/B,_445_,pin,cell
_445_,_445_/Y,cell,pin
_446_/A,_446_,pin,cell
_446_/B,_446_,pin,cell
_446_,_446_/Y,cell,pin
_447_/A,_447_,pin,cell
_447_/B,_447_,pin,cell
_447_/C,_447_,pin,cell
_447_/D,_447_,pin,cell
_447_/E,_447_,pin,cell
_447_,_447_/Y,cell,pin
_448_/A1,_448_,pin,cell
_448_/A2,_448_,pin,cell
_448_/B,_448_,pin,cell
_448_/C,_448_,pin,cell
_448_,_448_/Y,cell,pin
_449_/A,_449_,pin,cell
_449_/B,_449_,pin,cell
_449_/C,_449_,pin,cell
_449_/D,_449_,pin,cell
_449_,_449_/Y,cell,pin
_450_/A,_450_,pin,cell
_450_/B,_450_,pin,cell
_450_,_450_/Y,cell,pin
_451_/A1,_451_,pin,cell
_451_/A2,_451_,pin,cell
_451_/A3,_451_,pin,cell
_451_/B1,_451_,pin,cell
_451_/B2,_451_,pin,cell
_451_,_451_/Y,cell,pin
_452_/A,_452_,pin,cell
_452_/B,_452_,pin,cell
_452_/C,_452_,pin,cell
_452_/D,_452_,pin,cell
_452_/E,_452_,pin,cell
_452_,_452_/Y,cell,pin
_453_/A1,_453_,pin,cell
_453_/A2,_453_,pin,cell
_453_/B,_453_,pin,cell
_453_,_453_/Y,cell,pin
_454_/A1,_454_,pin,cell
_454_/A2,_454_,pin,cell
_454_/B1,_454_,pin,cell
_454_/B2,_454_,pin,cell
_454_/C,_454_,pin,cell
_454_,_454_/Y,cell,pin
_455_/A1,_455_,pin,cell
_455_/A2,_455_,pin,cell
_455_/B,_455_,pin,cell
_455_,_455_/Y,cell,pin
_456_/A1,_456_,pin,cell
_456_/A2,_456_,pin,cell
_456_/B,_456_,pin,cell
_456_,_456_/Y,cell,pin
_457_/A1,_457_,pin,cell
_457_/A2,_457_,pin,cell
_457_/B,_457_,pin,cell
_457_,_457_/Y,cell,pin
_458_/A1,_458_,pin,cell
_458_/A2,_458_,pin,cell
_458_/B,_458_,pin,cell
_458_,_458_/Y,cell,pin
_459_/A1,_459_,pin,cell
_459_/A2,_459_,pin,cell
_459_/B1,_459_,pin,cell
_459_/B2,_459_,pin,cell
_459_/C,_459_,pin,cell
_459_,_459_/Y,cell,pin
_460_/A,_460_,pin,cell
_460_,_460_/Y,cell,pin
_460_/B,_460_,pin,cell
_461_/A,_461_,pin,cell
_461_,_461_/Y,cell,pin
_462_/A1,_462_,pin,cell
_462_/A2,_462_,pin,cell
_462_/B,_462_,pin,cell
_462_,_462_/Y,cell,pin
_463_/A1,_463_,pin,cell
_463_/A2,_463_,pin,cell
_463_/B,_463_,pin,cell
_463_,_463_/Y,cell,pin
_464_/A1,_464_,pin,cell
_464_/A2,_464_,pin,cell
_464_/B,_464_,pin,cell
_464_,_464_/Y,cell,pin
_465_/A1,_465_,pin,cell
_465_/A2,_465_,pin,cell
_465_/B,_465_,pin,cell
_465_,_465_/Y,cell,pin
_466_/A,_466_,pin,cell
_466_,_466_/Y,cell,pin
_467_/A1,_467_,pin,cell
_467_/A2,_467_,pin,cell
_467_/B,_467_,pin,cell
_467_,_467_/Y,cell,pin
_468_/A1,_468_,pin,cell
_468_/A2,_468_,pin,cell
_468_/B1,_468_,pin,cell
_468_/B2,_468_,pin,cell
_468_/C,_468_,pin,cell
_468_,_468_/Y,cell,pin
_469_/A1,_469_,pin,cell
_469_/A2,_469_,pin,cell
_469_/B,_469_,pin,cell
_469_,_469_/Y,cell,pin
_470_/A,_470_,pin,cell
_470_,_470_/Y,cell,pin
_471_/A,_471_,pin,cell
_471_/B,_471_,pin,cell
_471_/C,_471_,pin,cell
_471_,_471_/Y,cell,pin
_472_/B,_472_,pin,cell
_472_,_472_/Y,cell,pin
_472_/A,_472_,pin,cell
_473_/A1,_473_,pin,cell
_473_/A2,_473_,pin,cell
_473_/B,_473_,pin,cell
_473_,_473_/Y,cell,pin
_474_/A,_474_,pin,cell
_474_/B,_474_,pin,cell
_474_,_474_/Y,cell,pin
_475_/A1,_475_,pin,cell
_475_/A2,_475_,pin,cell
_475_/B1,_475_,pin,cell
_475_/B2,_475_,pin,cell
_475_/C,_475_,pin,cell
_475_,_475_/Y,cell,pin
_476_/A1,_476_,pin,cell
_476_/A2,_476_,pin,cell
_476_/B1,_476_,pin,cell
_476_/B2,_476_,pin,cell
_476_,_476_/Y,cell,pin
_477_/A,_477_,pin,cell
_477_,_477_/Y,cell,pin
_478_/A,_478_,pin,cell
_478_/B,_478_,pin,cell
_478_/C,_478_,pin,cell
_478_,_478_/Y,cell,pin
_479_/A1,_479_,pin,cell
_479_/A2,_479_,pin,cell
_479_/B,_479_,pin,cell
_479_,_479_/Y,cell,pin
_480_/A1,_480_,pin,cell
_480_/A2,_480_,pin,cell
_480_/B,_480_,pin,cell
_480_,_480_/Y,cell,pin
_481_/A,_481_,pin,cell
_481_,_481_/Y,cell,pin
_481_/B,_481_,pin,cell
_482_/A1,_482_,pin,cell
_482_/A2,_482_,pin,cell
_482_/B,_482_,pin,cell
_482_,_482_/Y,cell,pin
_483_/A,_483_,pin,cell
_483_/B,_483_,pin,cell
_483_,_483_/Y,cell,pin
_484_/A1,_484_,pin,cell
_484_/A2,_484_,pin,cell
_484_/B1,_484_,pin,cell
_484_/B2,_484_,pin,cell
_484_/C,_484_,pin,cell
_484_,_484_/Y,cell,pin
_485_/A1,_485_,pin,cell
_485_/A2,_485_,pin,cell
_485_/B1,_485_,pin,cell
_485_/B2,_485_,pin,cell
_485_,_485_/Y,cell,pin
_486_/A,_486_,pin,cell
_486_,_486_/Y,cell,pin
_487_/A,_487_,pin,cell
_487_/B,_487_,pin,cell
_487_/C,_487_,pin,cell
_487_,_487_/Y,cell,pin
_488_/A1,_488_,pin,cell
_488_/A2,_488_,pin,cell
_488_/B,_488_,pin,cell
_488_,_488_/Y,cell,pin
_489_/A,_489_,pin,cell
_489_,_489_/Y,cell,pin
_489_/B,_489_,pin,cell
_490_/A1,_490_,pin,cell
_490_/A2,_490_,pin,cell
_490_/B,_490_,pin,cell
_490_,_490_/Y,cell,pin
_491_/A,_491_,pin,cell
_491_/B,_491_,pin,cell
_491_,_491_/Y,cell,pin
_492_/A1,_492_,pin,cell
_492_/A2,_492_,pin,cell
