src,tar,src_type,tar_type
_19250_/A,_19250_,pin,cell
_19250_,_19250_/Y,cell,pin
_19251_/A1,_19251_,pin,cell
_19251_/A2,_19251_,pin,cell
_19251_/B,_19251_,pin,cell
_19251_/C,_19251_,pin,cell
_19251_,_19251_/Y,cell,pin
_19252_/A,_19252_,pin,cell
_19252_,_19252_/Y,cell,pin
_19253_/A,_19253_,pin,cell
_19253_/B,_19253_,pin,cell
_19253_,_19253_/Y,cell,pin
_19254_/A1,_19254_,pin,cell
_19254_/A2,_19254_,pin,cell
_19254_/B,_19254_,pin,cell
_19254_/C,_19254_,pin,cell
_19254_,_19254_/Y,cell,pin
_19255_/A,_19255_,pin,cell
_19255_/B,_19255_,pin,cell
_19255_/C,_19255_,pin,cell
_19255_,_19255_/Y,cell,pin
_19256_/A1,_19256_,pin,cell
_19256_/A2,_19256_,pin,cell
_19256_/B,_19256_,pin,cell
_19256_/C,_19256_,pin,cell
_19256_,_19256_/Y,cell,pin
_19257_/A,_19257_,pin,cell
_19257_/B,_19257_,pin,cell
_19257_/C,_19257_,pin,cell
_19257_,_19257_/Y,cell,pin
_19258_/A,_19258_,pin,cell
_19258_,_19258_/Y,cell,pin
_19259_/A,_19259_,pin,cell
_19259_,_19259_/Y,cell,pin
_19260_/A,_19260_,pin,cell
_19260_/B,_19260_,pin,cell
_19260_,_19260_/Y,cell,pin
_19261_/A,_19261_,pin,cell
_19261_,_19261_/Y,cell,pin
_19262_/A,_19262_,pin,cell
_19262_/B,_19262_,pin,cell
_19262_,_19262_/Y,cell,pin
_19263_/A,_19263_,pin,cell
_19263_,_19263_/Y,cell,pin
_19264_/A,_19264_,pin,cell
_19264_/B,_19264_,pin,cell
_19264_,_19264_/Y,cell,pin
_19265_/A1,_19265_,pin,cell
_19265_/A2,_19265_,pin,cell
_19265_/B1,_19265_,pin,cell
_19265_/B2,_19265_,pin,cell
_19265_,_19265_/Y,cell,pin
_19266_/A,_19266_,pin,cell
_19266_,_19266_/Y,cell,pin
_19267_/A,_19267_,pin,cell
_19267_,_19267_/Y,cell,pin
_19268_/A,_19268_,pin,cell
_19268_,_19268_/Y,cell,pin
_19269_/A,_19269_,pin,cell
_19269_,_19269_/Y,cell,pin
_19270_/A,_19270_,pin,cell
_19270_,_19270_/Y,cell,pin
_19271_/A,_19271_,pin,cell
_19271_,_19271_/Y,cell,pin
_19272_/A,_19272_,pin,cell
_19272_,_19272_/Y,cell,pin
_19273_/A,_19273_,pin,cell
_19273_/B,_19273_,pin,cell
_19273_/C,_19273_,pin,cell
_19273_,_19273_/Y,cell,pin
_19274_/A,_19274_,pin,cell
_19274_,_19274_/Y,cell,pin
_19275_/A,_19275_,pin,cell
_19275_,_19275_/Y,cell,pin
_19276_/A,_19276_,pin,cell
_19276_,_19276_/Y,cell,pin
_19277_/A,_19277_,pin,cell
_19277_,_19277_/Y,cell,pin
_19278_/A,_19278_,pin,cell
_19278_,_19278_/Y,cell,pin
_19279_/A,_19279_,pin,cell
_19279_,_19279_/Y,cell,pin
_19280_/A,_19280_,pin,cell
_19280_/B,_19280_,pin,cell
_19280_,_19280_/Y,cell,pin
_19281_/A,_19281_,pin,cell
_19281_/B,_19281_,pin,cell
_19281_/C,_19281_,pin,cell
_19281_,_19281_/Y,cell,pin
_19282_/A,_19282_,pin,cell
_19282_/B,_19282_,pin,cell
_19282_,_19282_/Y,cell,pin
_19283_/A,_19283_,pin,cell
_19283_,_19283_/Y,cell,pin
_19284_/A,_19284_,pin,cell
_19284_/B,_19284_,pin,cell
_19284_,_19284_/Y,cell,pin
_19285_/A,_19285_,pin,cell
_19285_/B,_19285_,pin,cell
_19285_,_19285_/Y,cell,pin
_19286_/A,_19286_,pin,cell
_19286_,_19286_/Y,cell,pin
_19287_/A,_19287_,pin,cell
_19287_,_19287_/Y,cell,pin
_19288_/A,_19288_,pin,cell
_19288_/B,_19288_,pin,cell
_19288_,_19288_/Y,cell,pin
_19289_/A,_19289_,pin,cell
_19289_/B,_19289_,pin,cell
_19289_/C,_19289_,pin,cell
_19289_/D,_19289_,pin,cell
_19289_,_19289_/Y,cell,pin
_19290_/A,_19290_,pin,cell
_19290_,_19290_/Y,cell,pin
_19291_/B,_19291_,pin,cell
_19291_/C,_19291_,pin,cell
_19291_,_19291_/Y,cell,pin
_19291_/A,_19291_,pin,cell
_19292_/A1,_19292_,pin,cell
_19292_/A2,_19292_,pin,cell
_19292_/B,_19292_,pin,cell
_19292_,_19292_/Y,cell,pin
_19293_/A,_19293_,pin,cell
_19293_/B,_19293_,pin,cell
_19293_,_19293_/Y,cell,pin
_19294_/A,_19294_,pin,cell
_19294_/B,_19294_,pin,cell
_19294_/C,_19294_,pin,cell
_19294_/D,_19294_,pin,cell
_19294_,_19294_/Y,cell,pin
_19295_/A,_19295_,pin,cell
_19295_,_19295_/Y,cell,pin
_19296_/A,_19296_,pin,cell
_19296_/B,_19296_,pin,cell
_19296_,_19296_/Y,cell,pin
_19297_/A1,_19297_,pin,cell
_19297_/A2,_19297_,pin,cell
_19297_/B,_19297_,pin,cell
_19297_,_19297_/Y,cell,pin
_19298_/A,_19298_,pin,cell
_19298_,_19298_/Y,cell,pin
_19299_/A,_19299_,pin,cell
_19299_/B,_19299_,pin,cell
_19299_/C,_19299_,pin,cell
_19299_,_19299_/Y,cell,pin
_19300_/A,_19300_,pin,cell
_19300_/B,_19300_,pin,cell
_19300_/C,_19300_,pin,cell
_19300_,_19300_/Y,cell,pin
_19301_/A,_19301_,pin,cell
_19301_/B,_19301_,pin,cell
_19301_/C,_19301_,pin,cell
_19301_/D,_19301_,pin,cell
_19301_,_19301_/Y,cell,pin
_19302_/A1,_19302_,pin,cell
_19302_/A2,_19302_,pin,cell
_19302_/B,_19302_,pin,cell
_19302_,_19302_/Y,cell,pin
_19303_/A,_19303_,pin,cell
_19303_/B,_19303_,pin,cell
_19303_,_19303_/Y,cell,pin
_19304_/A,_19304_,pin,cell
_19304_,_19304_/Y,cell,pin
_19305_/A,_19305_,pin,cell
_19305_,_19305_/Y,cell,pin
_19306_/A,_19306_,pin,cell
_19306_,_19306_/Y,cell,pin
_19307_/A,_19307_,pin,cell
_19307_,_19307_/Y,cell,pin
_19308_/A,_19308_,pin,cell
_19308_/B,_19308_,pin,cell
_19308_,_19308_/Y,cell,pin
_19309_/A,_19309_,pin,cell
_19309_,_19309_/Y,cell,pin
_19310_/A1,_19310_,pin,cell
_19310_/A2,_19310_,pin,cell
_19310_/A3,_19310_,pin,cell
_19310_/B1,_19310_,pin,cell
_19310_/B2,_19310_,pin,cell
_19310_,_19310_/Y,cell,pin
_19311_/B,_19311_,pin,cell
_19311_/C,_19311_,pin,cell
_19311_,_19311_/Y,cell,pin
_19311_/A,_19311_,pin,cell
_19312_/A,_19312_,pin,cell
_19312_/B,_19312_,pin,cell
_19312_/C,_19312_,pin,cell
_19312_,_19312_/Y,cell,pin
_19313_/A1,_19313_,pin,cell
_19313_/A2,_19313_,pin,cell
_19313_/B,_19313_,pin,cell
_19313_,_19313_/Y,cell,pin
_19314_/A,_19314_,pin,cell
