src,tar,src_type,tar_type,is_net,arc_delay
_12798_/B,_12798_/X,pin,pin,0,4.30185942423833e-10
_12798_/C,_12798_/X,pin,pin,0,2.8341418101263116e-10
_12799_/A0,_12799_/Y,pin,pin,0,6.580871403372157e-10
_12799_/A1,_12799_/Y,pin,pin,0,6.407107622230512e-10
_12799_/S,_12799_/Y,pin,pin,0,7.687960823510309e-10
_12800_/A,_12800_/Y,pin,pin,0,1.8753272545968258e-10
_12807_/A,_12807_/X,pin,pin,0,5.383710144357678e-10
_12807_/B,_12807_/X,pin,pin,0,4.150059185192845e-10
_12807_/C,_12807_/X,pin,pin,0,2.814828092834176e-10
_12808_/A,_12808_/X,pin,pin,0,6.150897013945666e-10
_12808_/B,_12808_/X,pin,pin,0,5.532354019344154e-10
_12808_/C,_12808_/X,pin,pin,0,4.1705439102202035e-10
_12809_/A,_12809_/Y,pin,pin,0,2.730711212706183e-10
_12809_/B,_12809_/Y,pin,pin,0,1.3111360608331069e-10
_12810_/A1,_12810_/X,pin,pin,0,6.853748679702676e-10
_12810_/A2,_12810_/X,pin,pin,0,5.862736407458158e-10
_12810_/B1,_12810_/X,pin,pin,0,6.03081307115616e-10
_12812_/A,_12812_/Y,pin,pin,0,2.731936898925369e-10
_12818_/A,_12818_/X,pin,pin,0,6.8302424827138e-10
_12818_/B,_12818_/X,pin,pin,0,5.448352324854966e-10
_12818_/C,_12818_/X,pin,pin,0,4.453182544938983e-10
_12819_/A,_12819_/X,pin,pin,0,4.459362878961315e-10
_12819_/B,_12819_/X,pin,pin,0,4.01239985681201e-10
_12819_/C,_12819_/X,pin,pin,0,2.436173485165227e-10
_12820_/A,_12820_/Y,pin,pin,0,2.957624978261464e-10
_12820_/B,_12820_/Y,pin,pin,0,1.8531140510980038e-10
_12821_/A1,_12821_/Y,pin,pin,0,6.988692402565277e-10
_12821_/A2,_12821_/Y,pin,pin,0,6.10172801174258e-10
_12821_/B1,_12821_/Y,pin,pin,0,5.951294457240408e-10
