src,tar,src_type,tar_type
_10036_/B1,_10036_,pin,cell
_10036_/B2,_10036_,pin,cell
_10036_,_10036_/Y,cell,pin
_10037_/A1,_10037_,pin,cell
_10037_/A2,_10037_,pin,cell
_10037_/B1,_10037_,pin,cell
_10037_/B2,_10037_,pin,cell
_10037_,_10037_/Y,cell,pin
_10038_/A,_10038_,pin,cell
_10038_,_10038_/Y,cell,pin
_10039_/A,_10039_,pin,cell
_10039_,_10039_/Y,cell,pin
_1003_/A,_1003_,pin,cell
_1003_,_1003_/Y,cell,pin
_10040_/A,_10040_,pin,cell
_10040_,_10040_/Y,cell,pin
_10041_/A,_10041_,pin,cell
_10041_,_10041_/Y,cell,pin
_10042_/A,_10042_,pin,cell
_10042_,_10042_/Y,cell,pin
_10043_/A1,_10043_,pin,cell
_10043_/A2,_10043_,pin,cell
_10043_/B,_10043_,pin,cell
_10043_,_10043_/Y,cell,pin
_10044_/A1,_10044_,pin,cell
_10044_/A2,_10044_,pin,cell
_10044_/B1,_10044_,pin,cell
_10044_/B2,_10044_,pin,cell
_10044_,_10044_/Y,cell,pin
_10045_/A,_10045_,pin,cell
_10045_/B,_10045_,pin,cell
_10045_,_10045_/Y,cell,pin
_10046_/A1,_10046_,pin,cell
_10046_/A2,_10046_,pin,cell
_10046_/B1,_10046_,pin,cell
_10046_/B2,_10046_,pin,cell
_10046_/C,_10046_,pin,cell
_10046_,_10046_/Y,cell,pin
_10047_/A,_10047_,pin,cell
_10047_,_10047_/Y,cell,pin
_10048_/A,_10048_,pin,cell
_10048_,_10048_/Y,cell,pin
_10049_/A,_10049_,pin,cell
_10049_,_10049_/Y,cell,pin
_1004_/A,_1004_,pin,cell
_1004_,_1004_/Y,cell,pin
_10050_/A,_10050_,pin,cell
_10050_,_10050_/Y,cell,pin
_10051_/A,_10051_,pin,cell
_10051_,_10051_/Y,cell,pin
_10052_/A1,_10052_,pin,cell
_10052_/A2,_10052_,pin,cell
_10052_/B,_10052_,pin,cell
_10052_,_10052_/Y,cell,pin
_10053_/A1,_10053_,pin,cell
_10053_/A2,_10053_,pin,cell
_10053_/B1,_10053_,pin,cell
_10053_/B2,_10053_,pin,cell
_10053_,_10053_/Y,cell,pin
_10054_/A1,_10054_,pin,cell
_10054_/A2,_10054_,pin,cell
_10054_/B,_10054_,pin,cell
_10054_,_10054_/Y,cell,pin
_10055_/A,_10055_,pin,cell
_10055_/B,_10055_,pin,cell
_10055_,_10055_/Y,cell,pin
_10056_/A,_10056_,pin,cell
_10056_,_10056_/Y,cell,pin
_10057_/A,_10057_,pin,cell
_10057_/B,_10057_,pin,cell
_10057_,_10057_/Y,cell,pin
_10058_/A,_10058_,pin,cell
_10058_/B,_10058_,pin,cell
_10058_,_10058_/Y,cell,pin
_10059_/A,_10059_,pin,cell
_10059_,_10059_/Y,cell,pin
_1005_/A,_1005_,pin,cell
_1005_,_1005_/Y,cell,pin
_10060_/A1,_10060_,pin,cell
_10060_/A2,_10060_,pin,cell
_10060_/B,_10060_,pin,cell
_10060_,_10060_/Y,cell,pin
_10061_/A1,_10061_,pin,cell
_10061_/A2,_10061_,pin,cell
_10061_/B,_10061_,pin,cell
_10061_,_10061_/Y,cell,pin
_10062_/A1,_10062_,pin,cell
_10062_/A2,_10062_,pin,cell
