src,tar,src_type,tar_type,is_net,arc_delay
_06314_/B1,_06314_/Y,pin,pin,0,3.642530166381164e-10
_06314_/B2,_06314_/Y,pin,pin,0,4.73666550426799e-10
_06316_/A_N,_06316_/Y,pin,pin,0,2.696715073469136e-10
_06316_/B,_06316_/Y,pin,pin,0,1.439357105725847e-10
_06316_/C,_06316_/Y,pin,pin,0,1.443734576334066e-10
_06317_/A,_06317_/Y,pin,pin,0,1.4206393006421791e-10
_06317_/B,_06317_/Y,pin,pin,0,1.3698921164095879e-10
_06318_/A,_06318_/Y,pin,pin,0,3.1386765408925044e-10
_06318_/B,_06318_/Y,pin,pin,0,3.200163467553807e-10
_06319_/A1,_06319_/Y,pin,pin,0,2.3023943862554574e-10
_06319_/A2,_06319_/Y,pin,pin,0,2.0030864467113219e-10
_06319_/B1,_06319_/Y,pin,pin,0,1.478704242385831e-10
_06321_/A1,_06321_/Y,pin,pin,0,2.567059342872824e-10
_06321_/A2,_06321_/Y,pin,pin,0,2.2565459223411466e-10
_06321_/B1,_06321_/Y,pin,pin,0,1.5769767436335513e-10
_06322_/A,_06322_/Y,pin,pin,0,1.6466253360825078e-10
_06322_/B,_06322_/Y,pin,pin,0,1.6457281371007326e-10
_06323_/A1,_06323_/X,pin,pin,0,5.83315673541307e-10
_06323_/A2,_06323_/X,pin,pin,0,5.879772224659519e-10
_06323_/B1,_06323_/X,pin,pin,0,5.354329757345511e-10
_06324_/A,_06324_/Y,pin,pin,0,3.1567576330715497e-10
_06324_/B,_06324_/Y,pin,pin,0,2.9273453105993497e-10
_06325_/A1,_06325_/X,pin,pin,0,4.1205150402845447e-10
_06325_/A2,_06325_/X,pin,pin,0,3.7267539054752774e-10
_06325_/B1,_06325_/X,pin,pin,0,4.0890774100077465e-10
_06326_/A1,_06326_/X,pin,pin,0,4.2693681923111626e-10
_06326_/A2,_06326_/X,pin,pin,0,4.794770691596284e-10
_06326_/A3,_06326_/X,pin,pin,0,4.854874280368904e-10
_06326_/B1,_06326_/X,pin,pin,0,5.158021232354315e-10
_06326_/C1,_06326_/X,pin,pin,0,4.0996994687958477e-10
_06327_/A1,_06327_/Y,pin,pin,0,9.982875637248867e-10
_06327_/A2,_06327_/Y,pin,pin,0,1.0057819022080139e-09
_06327_/B1,_06327_/Y,pin,pin,0,9.631948572064175e-10
_06328_/A1,_06328_/X,pin,pin,0,4.3660272619483464e-10
_06328_/A2,_06328_/X,pin,pin,0,4.987890100949244e-10
_06328_/A3,_06328_/X,pin,pin,0,5.145350256974268e-10
_06328_/B1,_06328_/X,pin,pin,0,5.648801981728013e-10
_06328_/C1,_06328_/X,pin,pin,0,4.05111111323464e-10
_06329_/A,_06329_/X,pin,pin,0,9.625781283162382e-10
_06329_/B,_06329_/X,pin,pin,0,9.709077986030934e-10
_06334_/A,_06334_/Y,pin,pin,0,1.6821177784009933e-10
_06334_/B,_06334_/Y,pin,pin,0,2.1176317643867293e-10
_06335_/A,_06335_/X,pin,pin,0,3.788276359273368e-10
_06335_/B,_06335_/X,pin,pin,0,3.004173576570679e-10
_06335_/C,_06335_/X,pin,pin,0,3.099890066859956e-10
_06336_/A,_06336_/Y,pin,pin,0,1.835175900133379e-10
_06336_/B,_06336_/Y,pin,pin,0,1.4844876716768596e-10
_06337_/A,_06337_/Y,pin,pin,0,5.874298963925995e-11
_06345_/A,_06345_/X,pin,pin,0,4.2213257889223144e-10
_06345_/B,_06345_/X,pin,pin,0,5.325414553780661e-10
_06346_/A1,_06346_/Y,pin,pin,0,2.7617308440142097e-10
_06346_/A2,_06346_/Y,pin,pin,0,3.220771149781143e-10
_06346_/B1_N,_06346_/Y,pin,pin,0,3.430884187860528e-10
_06349_/A_N,_06349_/Y,pin,pin,0,4.2910966446818577e-10
_06349_/B,_06349_/Y,pin,pin,0,2.811046395656547e-10
_06350_/A1,_06350_/X,pin,pin,0,2.8236249449697937e-10
_06350_/A2,_06350_/X,pin,pin,0,3.3742691973870365e-10
_06350_/B1,_06350_/X,pin,pin,0,3.2960098539369653e-10
_06357_/A0,_06357_/Y,pin,pin,0,1.261533377761026e-10
_06357_/A1,_06357_/Y,pin,pin,0,1.3464511450234085e-10
_06357_/S,_06357_/Y,pin,pin,0,2.5018667693110785e-10
_06363_/A1,_06363_/Y,pin,pin,0,4.3991216225336416e-10
_06363_/A2,_06363_/Y,pin,pin,0,2.707434276771892e-10
_06363_/B1,_06363_/Y,pin,pin,0,2.7441315886278517e-10
_06364_/A1,_06364_/Y,pin,pin,0,2.341506155634221e-10
_06364_/A2,_06364_/Y,pin,pin,0,2.2780982655845605e-10
_06364_/B1,_06364_/Y,pin,pin,0,2.1665527705216903e-10
_06364_/B2,_06364_/Y,pin,pin,0,1.8178185345885112e-10
_06364_/C1,_06364_/Y,pin,pin,0,1.6857042151041668e-10
_06367_/A0,_06367_/X,pin,pin,0,4.994357705179198e-10
_06367_/A1,_06367_/X,pin,pin,0,5.142840597827103e-10
_06367_/A2,_06367_/X,pin,pin,0,5.020758808704784e-10
_06367_/A3,_06367_/X,pin,pin,0,4.88842855084215e-10
_06367_/S0,_06367_/X,pin,pin,0,6.25604734683094e-10
_06367_/S1,_06367_/X,pin,pin,0,4.542021203590707e-10
_06369_/A1,_06369_/Y,pin,pin,0,5.104547340373244e-10
_06369_/A2,_06369_/Y,pin,pin,0,4.82181017336103e-10
_06369_/B1,_06369_/Y,pin,pin,0,2.5825180882677046e-10
_06371_/A1,_06371_/Y,pin,pin,0,2.946305699413898e-10
_06371_/A2,_06371_/Y,pin,pin,0,2.7997085205733185e-10
_06371_/B1,_06371_/Y,pin,pin,0,2.562869916289401e-10
_06374_/A0,_06374_/X,pin,pin,0,4.996424385339537e-10
_06374_/A1,_06374_/X,pin,pin,0,5.113428014347221e-10
_06374_/A2,_06374_/X,pin,pin,0,4.957111388037561e-10
_06374_/A3,_06374_/X,pin,pin,0,4.822354737754608e-10
_06374_/S0,_06374_/X,pin,pin,0,6.858965617695389e-10
_06374_/S1,_06374_/X,pin,pin,0,3.5049618762883483e-10
_06375_/A0,_06375_/X,pin,pin,0,4.777075957029808e-10
_06375_/A1,_06375_/X,pin,pin,0,4.8976100952558e-10
_06375_/A2,_06375_/X,pin,pin,0,4.730779101791427e-10
_06375_/A3,_06375_/X,pin,pin,0,4.597916214432729e-10
_06375_/S0,_06375_/X,pin,pin,0,6.623994686094647e-10
_06375_/S1,_06375_/X,pin,pin,0,3.282885352451359e-10
_06377_/A,_06377_/Y,pin,pin,0,2.7607166552812146e-10
_06379_/A0,_06379_/X,pin,pin,0,2.922032615870762e-10
_06379_/A1,_06379_/X,pin,pin,0,2.9762128872512505e-10
_06379_/S,_06379_/X,pin,pin,0,3.904051248948548e-10
_06380_/A,_06380_/Y,pin,pin,0,2.0654604415693e-10
