cell_name,is_seq,is_macro,is_in_clk,x0,y0,x1,y1,is_buf,is_inv,libcell_name,cell_static_power,cell_dynamic_power
FILLER_0_100_195,0,0,0,94240,302400,94620,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_207,0,0,0,98800,302400,100320,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_211,0,0,0,100320,302400,100700,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_221,0,0,0,104120,302400,104500,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_229,0,0,0,107160,302400,108680,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_233,0,0,0,108680,302400,109060,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_252,0,0,0,115900,302400,117420,305200,0,0,FILLCELL_X4,0.0,0.0
FILLER_0_100_256,0,0,0,117420,302400,117800,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_264,0,0,0,120460,302400,120840,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_271,0,0,0,123120,302400,123500,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_279,0,0,0,126160,302400,126540,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_284,0,0,0,128060,302400,128440,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_293,0,0,0,131480,302400,131860,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_327,0,0,0,144400,302400,144780,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_359,0,0,0,156560,302400,156940,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_436,0,0,0,185820,302400,186200,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_44,0,0,0,36860,302400,49020,305200,0,0,FILLCELL_X32,0.0,0.0
FILLER_0_100_471,0,0,0,199120,302400,199500,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_489,0,0,0,205960,302400,206340,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_499,0,0,0,209760,302400,210140,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_620,0,0,0,255740,302400,256120,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_664,0,0,0,272460,302400,272840,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_671,0,0,0,275120,302400,275500,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_675,0,0,0,276640,302400,277020,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_735,0,0,0,299440,302400,299820,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_76,0,0,0,49020,302400,52060,305200,0,0,FILLCELL_X8,0.0,0.0
FILLER_0_100_781,0,0,0,316920,302400,323000,305200,0,0,FILLCELL_X16,0.0,0.0
FILLER_0_100_797,0,0,0,323000,302400,323380,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_799,0,0,0,323760,302400,324140,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_808,0,0,0,327180,302400,327560,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_836,0,0,0,337820,302400,338200,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_854,0,0,0,344660,302400,345040,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_897,0,0,0,361000,302400,361380,305200,0,0,FILLCELL_X2,0.0,0.0
FILLER_0_100_918,0,0,0,368980,302400,369360,305200,0,0,FILLCELL_X1,0.0,0.0
FILLER_0_100_948,0,0,0,380380,302400,380760,305200,0,0,FILLCELL_X1,0.0,0.0
