src,tar,src_type,tar_type
_397_,_397_/ZN,cell,pin
_398_/A1,_398_,pin,cell
_398_/A2,_398_,pin,cell
_398_,_398_/ZN,cell,pin
_399_/A,_399_,pin,cell
_399_/B,_399_,pin,cell
_399_,_399_/ZN,cell,pin
_400_/A,_400_,pin,cell
_400_/B,_400_,pin,cell
_400_,_400_/ZN,cell,pin
_401_/A1,_401_,pin,cell
_401_/A2,_401_,pin,cell
_401_,_401_/ZN,cell,pin
_402_/A,_402_,pin,cell
_402_,_402_/ZN,cell,pin
_403_/A1,_403_,pin,cell
_403_/A2,_403_,pin,cell
_403_,_403_/ZN,cell,pin
_404_/A1,_404_,pin,cell
_404_/A2,_404_,pin,cell
_404_,_404_/ZN,cell,pin
_405_/A1,_405_,pin,cell
_405_/A2,_405_,pin,cell
_405_,_405_/ZN,cell,pin
_406_/A1,_406_,pin,cell
_406_/A2,_406_,pin,cell
_406_,_406_/ZN,cell,pin
_407_/A,_407_,pin,cell
_407_/B1,_407_,pin,cell
_407_/B2,_407_,pin,cell
_407_,_407_/ZN,cell,pin
_408_/A,_408_,pin,cell
_408_,_408_/ZN,cell,pin
_409_/A1,_409_,pin,cell
_409_/A2,_409_,pin,cell
_409_,_409_/ZN,cell,pin
_410_/A,_410_,pin,cell
_410_,_410_/ZN,cell,pin
_411_/A1,_411_,pin,cell
_411_/A2,_411_,pin,cell
_411_,_411_/ZN,cell,pin
_412_/A,_412_,pin,cell
_412_/B1,_412_,pin,cell
_412_/B2,_412_,pin,cell
_412_,_412_/ZN,cell,pin
_413_/A,_413_,pin,cell
_413_,_413_/ZN,cell,pin
_414_/A,_414_,pin,cell
_414_/B1,_414_,pin,cell
_414_/B2,_414_,pin,cell
_414_,_414_/ZN,cell,pin
_415_/A1,_415_,pin,cell
_415_/A2,_415_,pin,cell
_415_,_415_/ZN,cell,pin
_416_/A,_416_,pin,cell
_416_/B,_416_,pin,cell
_416_,_416_/ZN,cell,pin
_417_/A,_417_,pin,cell
_417_,_417_/ZN,cell,pin
_418_/A,_418_,pin,cell
_418_,_418_/ZN,cell,pin
_419_/A,_419_,pin,cell
_419_/B,_419_,pin,cell
_419_,_419_/ZN,cell,pin
_420_/A1,_420_,pin,cell
_420_/A2,_420_,pin,cell
_420_,_420_/ZN,cell,pin
_421_/A1,_421_,pin,cell
_421_/A2,_421_,pin,cell
_421_,_421_/ZN,cell,pin
_422_/A1,_422_,pin,cell
_422_/A2,_422_,pin,cell
_422_,_422_/ZN,cell,pin
_423_/A,_423_,pin,cell
_423_,_423_/ZN,cell,pin
_424_/A1,_424_,pin,cell
_424_/A2,_424_,pin,cell
_424_,_424_/ZN,cell,pin
_425_/A,_425_,pin,cell
_425_/B1,_425_,pin,cell
_425_/B2,_425_,pin,cell
_425_,_425_/ZN,cell,pin
_426_/A,_426_,pin,cell
_426_,_426_/ZN,cell,pin
_427_/A1,_427_,pin,cell
_427_/A2,_427_,pin,cell
_427_,_427_/ZN,cell,pin
_428_/A,_428_,pin,cell
