pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap
_350_/A2,32225,12660,0,-1,0,0,0,-1,0.1985349953174591,0,_350_,dpath.a_lt_b$in0\[1\],1.7256895565309627e-11,-0.071936,1.749047712218399e-10,1.4942830306452493e-10,3.346923212616806e-15
_350_/ZN,31801,12512,0,-1,0,0,1,-1,0.1985349953174591,0,_350_,_041_,1.5963971464194593e-11,-0.071936,1.8658924405556832e-10,1.8731889650513978e-10,None
_351_/A,34450,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_351_,_038_,1.2994006912125933e-11,-0.067293,1.8126714018684709e-10,1.9392246142224678e-10,3.1807179841900936e-15
_351_/B1,35895,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_351_,_040_,1.9742511445097755e-11,-0.063280,1.9027114606107176e-10,1.828475704179766e-10,3.100792802320125e-15
_351_/B2,35795,15400,0,-1,0,0,0,-1,0.1985349953174591,0,_351_,_041_,1.5964032179516252e-11,-0.071936,1.8670220924832392e-10,1.874311816862928e-10,3.328943032487202e-15
_351_/ZN,35805,15688,0,-1,0,0,1,-1,0.1985349953174591,0,_351_,_042_,1.925034263938752e-11,-0.071936,2.1940507743956061e-10,2.0742184358990556e-10,None
_352_/A,13165,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_352_,dpath.a_lt_b$in1\[3\],1.4709698736847798e-11,-0.070510,1.4786639968011883e-10,1.39426151180011e-10,3.2508910639800865e-15
_352_/ZN,13490,12600,0,-1,0,0,1,-1,0.1985349953174591,0,_352_,_043_,1.1142989309043116e-11,-0.070510,1.5738609027149408e-10,1.6010105741148806e-10,None
_353_/A1,13435,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_353_,_043_,1.1143037013938706e-11,-0.070510,1.5746101644786847e-10,1.6017297210790815e-10,1.5990320800793388e-15
_353_/A2,12785,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_353_,dpath.a_lt_b$in0\[3\],1.4879110096788217e-11,-0.053163,1.4811110671253402e-10,1.3960828326720076e-10,1.664198983392822e-15
_353_/ZN,13290,14986,0,-1,0,0,1,-1,0.1985349953174591,0,_353_,_044_,1.6593336080172882e-11,-0.070510,1.818770134498493e-10,1.7742006475085503e-10,None
_354_/A,12005,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_354_,dpath.a_lt_b$in0\[3\],1.487910836206474e-11,-0.072515,1.4810851156621396e-10,1.3960599343221247e-10,1.700229965024007e-15
_354_/ZN,12335,15400,0,-1,0,0,1,-1,0.1985349953174591,0,_354_,_045_,1.0674582745506811e-11,-0.072515,1.5697093624922331e-10,1.6009464587352085e-10,None
_355_/A1,12675,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_355_,_045_,1.067459575593288e-11,-0.072515,1.5701134836731967e-10,1.6013393389080477e-10,1.5990320800793388e-15
_355_/A2,12025,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_355_,dpath.a_lt_b$in1\[3\],1.470971087991213e-11,-0.055484,1.4787956970074845e-10,1.394380583219501e-10,1.664198983392822e-15
_355_/ZN,12530,13013,0,-1,0,0,1,-1,0.1985349953174591,0,_355_,_046_,1.7854573722275724e-11,-0.072515,1.8317669603362674e-10,1.7759219095303536e-10,None
_356_/A1,19570,15225,0,-1,0,0,0,-1,0.1985349953174591,0,_356_,_044_,1.6593441898304917e-11,-0.070510,1.8201580520571525e-10,1.775517927127268e-10,3.0531029415655766e-15
_356_/A2,19538,15380,0,-1,0,0,0,-1,0.1985349953174591,0,_356_,_046_,1.7854856482202308e-11,-0.072515,1.8340627627733141e-10,1.7780274474965552e-10,3.4509930686482584e-15
_356_/ZN,19335,15514,0,-1,0,0,1,-1,0.1985349953174591,0,_356_,_047_,1.2727933290657134e-11,-0.072515,1.9997511979674698e-10,2.0173446246829485e-10,None
_357_/A,21525,12775,0,-1,0,0,0,-1,0.1985349953174591,0,_357_,dpath.a_lt_b$in1\[2\],1.4797229413998636e-11,-0.074487,1.4798795522352748e-10,1.39513525732049e-10,3.2508910639800865e-15
