libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,libcell_delay_fixed_load
DFFRS_X2,23,27664000,2.6209289441845402e-15,1.233792943367007e-7,1.4270225279222615e-10,1.1974841951367665e-10
DFFR_X1,24,21280000,1.7785279966023e-15,8.621277913789527e-8,1.0122064297846123e-10,7.932782208897038e-11
DFFR_X2,24,23408000,2.47509909330403e-15,1.2598827936471935e-7,1.0754104551313759e-10,9.26933807487984e-11
DFFS_X1,25,21280000,1.3558930725150048e-15,8.439595688969348e-8,9.596071159911901e-11,7.803048485133246e-11
DFFS_X2,25,22344000,1.3335540608388303e-15,1.2110702130030404e-7,1.0513378362331238e-10,9.499909886523383e-11
DFF_X1,26,18088000,1.140290047274724e-15,7.911230426316251e-8,8.027595255200026e-11,7.626496656421011e-11
DFF_X2,26,20216000,1.127600011417197e-15,1.1510366704214903e-7,9.552721808026021e-11,9.321823868368995e-11
DLH_X1,27,10640000,9.854980584166713e-16,3.8675779023833456e-8,6.81165193694433e-11,6.629471971386636e-11
DLH_X2,27,11704000,1.1610080496480906e-15,5.783502743383906e-8,6.768537813561792e-11,6.53997481170343e-11
DLL_X1,28,10640000,9.891030306401856e-16,3.890633948344657e-8,8.13795766885228e-11,7.992639189380313e-11
DLL_X2,28,11704000,1.1305340276673674e-15,5.8181750972607915e-8,8.058247125131146e-11,7.84814574439352e-11
FA_X1,29,17024000,3.745708865282972e-15,4.81061874779698e-8,1.9686671737240147e-10,1.1903447671990364e-10
FILLCELL_X1,30,1064000,None,0.0,None,None
FILLCELL_X16,30,17024000,None,0.0,None,None
FILLCELL_X2,30,1064000,None,0.0,None,None
FILLCELL_X32,30,34048000,None,0.0,None,None
FILLCELL_X4,30,4256000,None,0.0,None,None
FILLCELL_X8,30,8512000,None,0.0,None,None
HA_X1,31,10640000,3.4477929781735316e-15,4.671854014759447e-8,1.6604768948713655e-10,6.664203217043863e-11
INV_X1,32,2128000,1.700229965024007e-15,1.0102223946262257e-8,2.098867780964131e-11,2.098867780964131e-11
INV_X16,32,18088000,2.522813772123933e-14,1.6163619420694886e-7,2.0312907605957164e-11,5.513780838156679e-12
INV_X2,32,3192000,3.2508910639800865e-15,2.0204469208806586e-8,2.046319363957494e-11,1.2935418361448292e-11
INV_X32,32,35112000,4.9191468904979593e-14,3.232734968605655e-7,2.05435737865578e-11,5.216634416105315e-12
INV_X4,32,5320000,6.258425327049276e-15,4.040915868586126e-8,2.0021925090096815e-11,8.838405701760976e-12
INV_X8,32,9576000,1.181065218091833e-14,8.081941871296294e-8,1.9951255925132472e-11,7.296286838598398e-12
LOGIC0_X1,33,2128000,None,0.0,None,None
LOGIC1_X1,34,2128000,None,0.0,None,None
MUX2_X1,35,7448000,1.919942052970537e-15,2.7331589436130344e-8,7.930310574888466e-11,6.477828690121257e-11
MUX2_X2,35,9576000,2.624001979717179e-15,7.047116667990849e-8,8.75680986056615e-11,7.217504371936911e-11
NAND2_X1,36,3192000,1.664198983392822e-15,3.482556021339178e-9,3.9881577207356855e-11,2.4820735744501832e-11
NAND2_X2,36,5320000,3.4509930686482584e-15,6.9651004963589e-9,3.986489610641186e-11,1.668558867462533e-11
NAND2_X4,36,9576000,6.2018498789197934e-15,1.3930178788257308e-8,3.801634354538841e-11,1.260508711298236e-11
NAND3_X1,37,4256000,1.650376993880408e-15,3.3188540804474087e-9,6.707753796852955e-11,3.13191000911317e-11
NAND3_X2,37,7448000,3.5588978663484046e-15,6.637685512345115e-9,6.822405834716605e-11,2.2673181040988588e-11
NAND3_X4,37,13832000,7.15589781576315e-15,1.3275348820229738e-8,7.022295245295851e-11,1.7950719036208262e-11
NAND4_X1,38,5320000,1.6599129966797153e-15,3.312517815601268e-9,1.1460749016478644e-10,4.512695772618258e-11
NAND4_X2,38,9576000,3.821420058240351e-15,6.6250134267420435e-9,1.207419442206259e-10,3.409344334626141e-11
NAND4_X4,38,19152000,6.0955349620616436e-15,1.3249939811998956e-8,1.0879638162597516e-10,2.83093722075467e-11
NOR2_X1,39,3192000,1.7144710240870752e-15,2.0201389006047066e-8,8.404564544317594e-11,5.0367217341307224e-11
NOR2_X2,39,5320000,3.346923212616806e-15,4.040277801209413e-8,8.309761212466071e-11,3.31000678255311e-11
NOR2_X4,39,9576000,6.773058828878466e-15,8.080566971102598e-8,8.392028044701405e-11,2.427807781202329e-11
NOR3_X1,40,4256000,1.7635709829405652e-15,3.02944371810554e-8,1.9054247069050234e-10,8.591499733867636e-11
NOR3_X2,40,7448000,3.4427918838947054e-15,6.05888743621108e-8,1.9391815930802636e-10,6.026191351482524e-11
NOR3_X4,40,14896000,6.514945866993452e-15,1.2117818926071777e-7,1.8331529350046338e-10,4.860127925110369e-11
NOR4_X1,41,5320000,1.7368040006535005e-15,4.0378360210979736e-8,3.416176785897562e-10,1.3038295443301706e-10
NOR4_X2,41,9576000,3.614957047896536e-15,8.075672042195947e-8,3.5510983042996713e-10,9.411811607851206e-11
NOR4_X4,41,19152000,6.5694443903362675e-15,1.6151300030742277e-7,3.279481131102102e-10,7.914587041302212e-11
OAI211_X1,42,5320000,1.6572760772357942e-15,6.227474091957674e-9,1.5076193071728028e-10,5.6014103078094735e-11
OAI211_X2,42,9576000,3.331181952325032e-15,1.2454970388375841e-8,1.5057737001722415e-10,3.9488939895804265e-11
OAI211_X4,42,18088000,6.550738938245577e-15,2.49098288662708e-8,1.5120076024555118e-10,3.111378168996204e-11
OAI21_X1,43,4256000,1.6707160548889966e-15,6.4153424794710645e-9,1.1848078074194746e-10,5.373819098042354e-11
OAI21_X2,43,7448000,3.328943032487202e-15,1.2830730256041534e-8,1.165300217431664e-10,3.6560157679055294e-11
OAI21_X4,43,13832000,6.500426028211619e-15,2.5661350377959025e-8,1.1581484382627849e-10,2.79692397714415e-11
OAI221_X1,44,6384000,1.6553779822801157e-15,6.3942451333787176e-9,1.8491871922599046e-10,5.684070575329159e-11
OAI221_X2,44,11704000,3.5363801307203594e-15,1.2788490266757435e-8,1.8873730356361307e-10,4.051693355822117e-11
OAI221_X4,45,13832000,1.6727540161600904e-15,8.401711681926827e-8,8.601776929628713e-11,7.021873360546493e-11
OAI222_X1,46,8512000,1.6202410439247576e-15,6.637520755248261e-9,2.387861020025639e-10,7.836621629397911e-11
OAI222_X2,46,14896000,3.363464072010788e-15,1.3275019306036029e-8,2.3830210027497856e-10,6.209789626954176e-11
OAI222_X4,47,14896000,1.6576459129963891e-15,8.426032849229159e-8,1.1188031057152159e-10,9.222096697403259e-11
OAI22_X1,48,5320000,1.6710430096066368e-15,6.964869569969778e-9,1.6282757087093813e-10,6.472579416882951e-11
OAI22_X2,48,9576000,3.397133208147673e-15,1.3929739139939556e-8,1.628024798305816e-10,4.78503486833759e-11
OAI22_X4,48,18088000,6.523128205263929e-15,2.785936814575507e-8,1.6286613724325605e-10,3.9364504711425496e-11
OAI33_X1,49,7448000,1.679872057532342e-15,1.0446699505450852e-8,3.700976192178018e-10,1.1792478105121518e-10
OR2_X1,50,4256000,9.46813957836449e-16,2.8578657662592377e-8,5.647142475861955e-11,5.540626984990027e-11
OR2_X2,50,5320000,1.745939992143467e-15,5.740701780609925e-8,5.238690384268274e-11,4.669783310040643e-11
OR2_X4,50,9576000,3.4546641094416585e-15,1.1481469641694275e-7,5.114483142554249e-11,4.193361630155934e-11
