,pin_name,x,y,is_in_clk,is_port,is_startpoint,is_endpoint,dir,maxcap,maxtran,num_reachable_endpoint,cell_name,net_name,pin_tran,pin_slack,pin_rise_arr,pin_fall_arr,input_pin_cap,is_macro,is_seq,is_buf,is_inv,new_cellname,new_netname,id,org_id,netname_prefix,to_top,to_left,to_right,to_bottom,libcell_name,rise_cap,fall_cap
337,A,4951,6615,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_400_,_295_,2.6702392033617347e-11,2.365357909539512e-11,1.1922245135576048e-10,1.1990307358100694e-10,1.3204499317492145e-15,0,0,0,1,cell1092,net349,337,337,_295_,9585.0,4951.0,11249.0,6615.0,INVx2_ASAP7_75t_R,1.31949,1.32045
338,Y,5038,6615,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_400_,_278_,1.7070291360998802e-11,2.365357909539512e-11,1.3345891058946788e-10,1.3111382812791558e-10,-1.0,0,0,0,1,cell1092,net332,338,338,_278_,9585.0,5038.0,11162.0,6615.0,INVx2_ASAP7_75t_R,,
339,A1,5697,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_401_,_278_,1.7076111358260704e-11,3.8538186530878704e-11,1.3364083450984054e-10,1.3129693166025191e-10,5.411660148085427e-16,0,0,0,0,cell1093,net332,339,339,_278_,7407.0,5697.0,10503.0,8793.0,OA211x2_ASAP7_75t_R,0.536639,0.541166
340,A2,5602,8775,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_401_,_052_,2.6787938187111667e-11,3.035431628273244e-11,1.344117039892012e-10,1.3483592020691046e-10,5.704190387957988e-16,0,0,0,0,cell1093,net106,340,340,_052_,7425.0,5602.0,10598.0,8775.0,OA211x2_ASAP7_75t_R,0.570067,0.570419
341,B,5751,8793,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_401_,_025_,3.612660517959832e-11,3.425558448011401e-11,1.221293483011365e-10,1.2446202402038864e-10,4.370169876663016e-16,0,0,0,0,cell1093,net79,341,341,_025_,7407.0,5751.0,10449.0,8793.0,OA211x2_ASAP7_75t_R,0.437017,0.430291
342,C,5805,8775,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_401_,_027_,2.4864542716440677e-11,4.1049164067885606e-11,1.1769139829365116e-10,1.2006802496689062e-10,4.4726103060017475e-16,0,0,0,0,cell1093,net81,342,342,_027_,7425.0,5805.0,10395.0,8775.0,OA211x2_ASAP7_75t_R,0.447261,0.439142
343,Y,5932,8775,0,False,0,0,False,9.216000358691635e-14,3.1999999872134305e-10,0,_401_,_163_,1.4144735729915148e-11,3.035431628273244e-11,1.610697131226857e-10,1.6623230569834388e-10,-1.0,0,0,0,0,cell1093,net217,343,343,_163_,7425.0,5932.0,10268.0,8775.0,OA211x2_ASAP7_75t_R,,
344,A1,8613,9333,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_402_,net74,8.801426601423579e-12,2.679245714176659e-12,1.7300351429216931e-10,1.7084350600882203e-10,6.183570272643335e-16,0,0,0,0,cell1094,net444,344,344,net74,6867.0,8613.0,7587.0,9333.0,OA21x2_ASAP7_75t_R,0.61012,0.618357
345,A2,8721,9333,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_402_,_020_,3.410420210125942e-11,4.2487527385226536e-11,1.2183834496859447e-10,1.241989427969159e-10,6.484900126046684e-16,0,0,0,0,cell1094,net74,345,345,_020_,6867.0,8721.0,7479.0,9333.0,OA21x2_ASAP7_75t_R,0.64849,0.648421
346,B,8785,9330,0,False,0,0,True,0.0,3.1999999872134305e-10,0,_402_,_018_,4.6132004466459264e-11,4.248713880716792e-11,1.2384684944244384e-10,1.2624988554588154e-10,6.363210078888211e-16,0,0,0,0,cell1094,net72,346,346,_018_,6870.0,8785.0,7415.0,9330.0,OA21x2_ASAP7_75t_R,0.636321,0.629252
