,libcell_name,func_id,libcell_area,worst_input_cap,libcell_leakage,fo4_delay,fix_load_delay,libcell_id,group_id,size_class,size_class2,size_cnt,min_size_cell
22,AO322x2_ASAP7_75t_R,13,218700,6.260419983760942e-16,1.1329200078069589e-10,3.329770834059609e-11,3.3789075704060416e-11,22,14,0,0,1,AO322x2_ASAP7_75t_R
23,AO32x1_ASAP7_75t_R,14,116640,5.559329754527373e-16,7.143979852131109e-11,2.5318096577575663e-11,2.6767688759976597e-11,23,15,1,49,2,AO32x2_ASAP7_75t_R
24,AO32x2_ASAP7_75t_R,14,131220,5.619220277854174e-16,9.088420294123267e-11,2.723739116194945e-11,2.822043640438032e-11,24,15,0,0,2,AO32x2_ASAP7_75t_R
25,AO331x1_ASAP7_75t_R,15,145800,6.685079951866885e-16,1.262430021631289e-10,3.196158268603533e-11,3.2833284702160626e-11,25,16,1,49,2,AO331x2_ASAP7_75t_R
26,AO331x2_ASAP7_75t_R,15,160380,6.675379836434047e-16,1.4568699024941623e-10,3.2870185739941604e-11,3.3488930378799964e-11,26,16,0,0,2,AO331x2_ASAP7_75t_R
27,AO332x1_ASAP7_75t_R,16,160380,6.548130076768034e-16,1.1309999464748087e-10,3.4671401166752596e-11,3.561466746515585e-11,27,17,1,49,2,AO332x2_ASAP7_75t_R
28,AO332x2_ASAP7_75t_R,16,174960,6.538749716272786e-16,1.325440035504499e-10,3.549330274132956e-11,3.615275787072214e-11,28,17,0,0,2,AO332x2_ASAP7_75t_R
29,AO333x1_ASAP7_75t_R,17,174960,6.509490021901069e-16,1.1095999813415247e-10,3.8304758670504307e-11,3.922508151621429e-11,29,18,1,49,2,AO333x2_ASAP7_75t_R
30,AO333x2_ASAP7_75t_R,17,189540,6.506250120877821e-16,1.3040400703712152e-10,3.905642476098592e-11,3.971362128041278e-11,30,18,0,0,2,AO333x2_ASAP7_75t_R
31,AO33x2_ASAP7_75t_R,18,145800,5.793610068012848e-16,9.934850164761143e-11,3.083636471168383e-11,3.199806045128817e-11,31,19,0,0,1,AO33x2_ASAP7_75t_R
32,AOI211x1_ASAP7_75t_R,19,174960,1.0596800392669004e-15,0.0,2.227844991820049e-11,1.8562226408724847e-11,32,20,1,49,2,AOI211xp5_ASAP7_75t_R
33,AOI211xp5_ASAP7_75t_R,19,87480,5.707670105184427e-16,0.0,2.4408069315695613e-11,2.885395047891315e-11,33,20,0,0,2,AOI211xp5_ASAP7_75t_R
34,AOI21x1_ASAP7_75t_R,20,116640,1.2416199634800457e-15,0.0,1.7030375373816575e-11,1.1543654920842528e-11,34,21,2,49,3,AOI21xp33_ASAP7_75t_R
35,AOI21xp33_ASAP7_75t_R,20,72900,4.850040246364383e-16,0.0,1.8406571405948924e-11,2.5795390129479398e-11,35,21,0,0,3,AOI21xp33_ASAP7_75t_R
36,AOI21xp5_ASAP7_75t_R,20,72900,6.00336030734584e-16,0.0,1.6462395682759198e-11,1.83883689525155e-11,36,21,1,25,3,AOI21xp33_ASAP7_75t_R
37,AOI221x1_ASAP7_75t_R,21,204120,9.780579327662265e-16,0.0,2.4590487632258903e-11,1.98427507064336e-11,37,22,0,0,1,AOI221x1_ASAP7_75t_R
38,AOI221xp5_ASAP7_75t_R,22,102060,5.6847800985760635e-16,0.0,2.416579783504069e-11,2.924019706918024e-11,38,23,0,0,1,AOI221xp5_ASAP7_75t_R
39,AOI222xp33_ASAP7_75t_R,23,145800,5.700740316884704e-16,0.0,2.792218539715563e-11,3.1373233871923034e-11,39,24,0,0,1,AOI222xp33_ASAP7_75t_R
40,AOI22x1_ASAP7_75t_R,24,145800,1.334960029652154e-15,0.0,1.8492422870775016e-11,1.325620082454071e-11,40,25,2,49,3,AOI22xp33_ASAP7_75t_R
41,AOI22xp33_ASAP7_75t_R,24,87480,4.657919939037307e-16,0.0,1.8685204425383795e-11,2.7042328445969762e-11,41,25,0,0,3,AOI22xp33_ASAP7_75t_R
42,AOI22xp5_ASAP7_75t_R,24,87480,6.477770226213171e-16,0.0,1.7664522622418133e-11,1.992744684542469e-11,42,25,1,25,3,AOI22xp33_ASAP7_75t_R
43,AOI311xp33_ASAP7_75t_R,25,102060,6.189910314253535e-16,0.0,2.804330899441876e-11,3.027164283131434e-11,43,26,0,0,1,AOI311xp33_ASAP7_75t_R
44,AOI31xp33_ASAP7_75t_R,26,87480,5.481609717056463e-16,0.0,2.3886918484872236e-11,2.8173886834625958e-11,44,27,0,0,2,AOI31xp33_ASAP7_75t_R
45,AOI31xp67_ASAP7_75t_R,26,189540,1.2509200676035425e-15,0.0,2.2301945012959123e-11,1.417649071050464e-11,45,27,1,49,2,AOI31xp33_ASAP7_75t_R
46,AOI321xp33_ASAP7_75t_R,27,116640,6.064040159500362e-16,0.0,2.9424029185376455e-11,3.20241264062382e-11,46,28,0,0,1,AOI321xp33_ASAP7_75t_R
47,AOI322xp5_ASAP7_75t_R,28,131220,6.108530035659302e-16,0.0,3.1267103489662767e-11,3.3711096414368313e-11,47,29,0,0,1,AOI322xp5_ASAP7_75t_R
48,AOI32xp33_ASAP7_75t_R,29,102060,5.465609794078421e-16,0.0,2.6184002882567725e-11,3.0526234318095646e-11,48,30,0,0,1,AOI32xp33_ASAP7_75t_R
49,AOI331xp33_ASAP7_75t_R,30,131220,6.683419767290267e-16,0.0,3.2236251862327585e-11,3.4726440473198394e-11,49,31,0,0,1,AOI331xp33_ASAP7_75t_R
50,AOI332xp33_ASAP7_75t_R,31,145800,6.531079832935397e-16,0.0,3.4416174771179087e-11,3.6998858837788966e-11,50,32,0,0,1,AOI332xp33_ASAP7_75t_R
