src,tar,src_type,tar_type
_16475_,_16475_/Z,cell,pin
_16476_/A,_16476_,pin,cell
_16476_/B,_16476_,pin,cell
_16476_/S,_16476_,pin,cell
_16476_,_16476_/Z,cell,pin
_16477_/A,_16477_,pin,cell
_16477_/B,_16477_,pin,cell
_16477_/S,_16477_,pin,cell
_16477_,_16477_/Z,cell,pin
_16478_/A,_16478_,pin,cell
_16478_/B,_16478_,pin,cell
_16478_/S,_16478_,pin,cell
_16478_,_16478_/Z,cell,pin
_16479_/A,_16479_,pin,cell
_16479_/B,_16479_,pin,cell
_16479_/S,_16479_,pin,cell
_16479_,_16479_/Z,cell,pin
_16480_/A,_16480_,pin,cell
_16480_/B,_16480_,pin,cell
_16480_/S,_16480_,pin,cell
_16480_,_16480_/Z,cell,pin
_16481_/A,_16481_,pin,cell
_16481_,_16481_/Z,cell,pin
_16482_/A,_16482_,pin,cell
_16482_,_16482_/Z,cell,pin
_16483_/A,_16483_,pin,cell
_16483_/B,_16483_,pin,cell
_16483_/S,_16483_,pin,cell
_16483_,_16483_/Z,cell,pin
_16484_/A,_16484_,pin,cell
_16484_/B,_16484_,pin,cell
_16484_/S,_16484_,pin,cell
_16484_,_16484_/Z,cell,pin
_16485_/A,_16485_,pin,cell
_16485_/B,_16485_,pin,cell
_16485_/S,_16485_,pin,cell
_16485_,_16485_/Z,cell,pin
_16486_/A,_16486_,pin,cell
_16486_/B,_16486_,pin,cell
_16486_/S,_16486_,pin,cell
_16486_,_16486_/Z,cell,pin
_16487_/A,_16487_,pin,cell
_16487_/B,_16487_,pin,cell
_16487_/S,_16487_,pin,cell
_16487_,_16487_/Z,cell,pin
_16488_/A,_16488_,pin,cell
_16488_,_16488_/Z,cell,pin
_16489_/A,_16489_,pin,cell
_16489_,_16489_/Z,cell,pin
_16490_/A,_16490_,pin,cell
_16490_,_16490_/Z,cell,pin
_16491_/A,_16491_,pin,cell
_16491_,_16491_/Z,cell,pin
_16492_/A1,_16492_,pin,cell
_16492_/A2,_16492_,pin,cell
_16492_,_16492_/ZN,cell,pin
_16493_/A,_16493_,pin,cell
_16493_,_16493_/ZN,cell,pin
_16494_/A,_16494_,pin,cell
_16494_,_16494_/Z,cell,pin
_16495_/A,_16495_,pin,cell
_16495_,_16495_/Z,cell,pin
_16496_/A,_16496_,pin,cell
_16496_/B,_16496_,pin,cell
_16496_/S,_16496_,pin,cell
_16496_,_16496_/Z,cell,pin
_16497_/A,_16497_,pin,cell
_16497_,_16497_/Z,cell,pin
_16498_/A,_16498_,pin,cell
_16498_/B,_16498_,pin,cell
_16498_/S,_16498_,pin,cell
_16498_,_16498_/Z,cell,pin
_16499_/A,_16499_,pin,cell
_16499_,_16499_/Z,cell,pin
_16500_/A,_16500_,pin,cell
_16500_/B,_16500_,pin,cell
_16500_/S,_16500_,pin,cell
_16500_,_16500_/Z,cell,pin
_16501_/A,_16501_,pin,cell
_16501_/B,_16501_,pin,cell
_16501_/S,_16501_,pin,cell
_16501_,_16501_/Z,cell,pin
_16502_/A,_16502_,pin,cell
_16502_/B,_16502_,pin,cell
_16502_/S,_16502_,pin,cell
_16502_,_16502_/Z,cell,pin
_16503_/A,_16503_,pin,cell
_16503_/B,_16503_,pin,cell
_16503_/S,_16503_,pin,cell
_16503_,_16503_/Z,cell,pin
_16504_/A,_16504_,pin,cell
_16504_/B,_16504_,pin,cell
_16504_/S,_16504_,pin,cell
_16504_,_16504_/Z,cell,pin
_16505_/A,_16505_,pin,cell
_16505_/B,_16505_,pin,cell
_16505_/S,_16505_,pin,cell
_16505_,_16505_/Z,cell,pin
_16506_/A,_16506_,pin,cell
_16506_/B,_16506_,pin,cell
_16506_/S,_16506_,pin,cell
_16506_,_16506_/Z,cell,pin
_16507_/A,_16507_,pin,cell
_16507_,_16507_/Z,cell,pin
_16508_/A,_16508_,pin,cell
_16508_/B,_16508_,pin,cell
_16508_/S,_16508_,pin,cell
_16508_,_16508_/Z,cell,pin
_16509_/A,_16509_,pin,cell
_16509_,_16509_/Z,cell,pin
_16510_/A,_16510_,pin,cell
_16510_,_16510_/ZN,cell,pin
_16511_/A,_16511_,pin,cell
_16511_,_16511_/Z,cell,pin
_16512_/A,_16512_,pin,cell
_16512_,_16512_/Z,cell,pin
_16513_/A,_16513_,pin,cell
_16513_,_16513_/Z,cell,pin
_16514_/A,_16514_,pin,cell
_16514_,_16514_/Z,cell,pin
_16515_/A,_16515_,pin,cell
_16515_/B,_16515_,pin,cell
_16515_/S,_16515_,pin,cell
_16515_,_16515_/Z,cell,pin
_16516_/A,_16516_,pin,cell
_16516_,_16516_/ZN,cell,pin
_16517_/A1,_16517_,pin,cell
_16517_/A2,_16517_,pin,cell
_16517_/A3,_16517_,pin,cell
_16517_,_16517_/ZN,cell,pin
_16518_/A1,_16518_,pin,cell
_16518_/A2,_16518_,pin,cell
_16518_/A3,_16518_,pin,cell
_16518_,_16518_/ZN,cell,pin
_16519_/A1,_16519_,pin,cell
_16519_/A2,_16519_,pin,cell
_16519_/A3,_16519_,pin,cell
_16519_,_16519_/ZN,cell,pin
_16520_/A,_16520_,pin,cell
_16520_/B,_16520_,pin,cell
_16520_/S,_16520_,pin,cell
_16520_,_16520_/Z,cell,pin
_16521_/A1,_16521_,pin,cell
_16521_/A2,_16521_,pin,cell
_16521_,_16521_/ZN,cell,pin
_16522_/A1,_16522_,pin,cell
_16522_/A2,_16522_,pin,cell
_16522_/A3,_16522_,pin,cell
_16522_,_16522_/ZN,cell,pin
_16523_/A1,_16523_,pin,cell
_16523_/A2,_16523_,pin,cell
_16523_,_16523_/ZN,cell,pin
_16524_/A1,_16524_,pin,cell
_16524_/A2,_16524_,pin,cell
_16524_/A3,_16524_,pin,cell
_16524_,_16524_/ZN,cell,pin
_16525_/A,_16525_,pin,cell
_16525_,_16525_/Z,cell,pin
_16526_/A,_16526_,pin,cell
_16526_,_16526_/ZN,cell,pin
_16527_/A,_16527_,pin,cell
_16527_,_16527_/Z,cell,pin
_16528_/A,_16528_,pin,cell
_16528_,_16528_/ZN,cell,pin
_16529_/A1,_16529_,pin,cell
_16529_/A2,_16529_,pin,cell
_16529_/A3,_16529_,pin,cell
_16529_,_16529_/ZN,cell,pin
_16530_/A1,_16530_,pin,cell
_16530_/A2,_16530_,pin,cell
_16530_/A3,_16530_,pin,cell
_16530_,_16530_/ZN,cell,pin
_16531_/A1,_16531_,pin,cell
_16531_/A2,_16531_,pin,cell
_16531_/B1,_16531_,pin,cell
_16531_/B2,_16531_,pin,cell
_16531_,_16531_/ZN,cell,pin
_16532_/A,_16532_,pin,cell
_16532_,_16532_/Z,cell,pin
_16533_/A,_16533_,pin,cell
_16533_,_16533_/ZN,cell,pin
_16534_/A1,_16534_,pin,cell
_16534_/A2,_16534_,pin,cell
_16534_,_16534_/ZN,cell,pin
_16535_/A,_16535_,pin,cell
_16535_,_16535_/ZN,cell,pin
_16536_/A,_16536_,pin,cell
_16536_,_16536_/Z,cell,pin
_16537_/A,_16537_,pin,cell
_16537_,_16537_/ZN,cell,pin
_16538_/A1,_16538_,pin,cell
_16538_/A2,_16538_,pin,cell
_16538_/A3,_16538_,pin,cell
_16538_,_16538_/ZN,cell,pin
_16539_/A1,_16539_,pin,cell
_16539_/A2,_16539_,pin,cell
_16539_/A3,_16539_,pin,cell
_16539_/A4,_16539_,pin,cell
_16539_,_16539_/ZN,cell,pin
_16540_/A1,_16540_,pin,cell
_16540_/A2,_16540_,pin,cell
_16540_/B1,_16540_,pin,cell
_16540_/B2,_16540_,pin,cell
_16540_,_16540_/ZN,cell,pin
_16541_/A1,_16541_,pin,cell
_16541_/A2,_16541_,pin,cell
_16541_/A3,_16541_,pin,cell
_16541_,_16541_/ZN,cell,pin
_16542_/A1,_16542_,pin,cell
_16542_/A2,_16542_,pin,cell
_16542_/B1,_16542_,pin,cell
_16542_/B2,_16542_,pin,cell
_16542_,_16542_/ZN,cell,pin
_16543_/A,_16543_,pin,cell
_16543_/B,_16543_,pin,cell
_16543_/S,_16543_,pin,cell
_16543_,_16543_/Z,cell,pin
_16544_/A,_16544_,pin,cell
_16544_,_16544_/ZN,cell,pin
_16545_/A,_16545_,pin,cell
_16545_,_16545_/Z,cell,pin
_16546_/A1,_16546_,pin,cell
_16546_/A2,_16546_,pin,cell
_16546_/A3,_16546_,pin,cell
_16546_,_16546_/ZN,cell,pin
_16547_/A1,_16547_,pin,cell
_16547_/A2,_16547_,pin,cell
_16547_/A3,_16547_,pin,cell
_16547_,_16547_/ZN,cell,pin
_16548_/A1,_16548_,pin,cell
_16548_/A2,_16548_,pin,cell
_16548_/B1,_16548_,pin,cell
